"OriginAirport","FlightDurationMins","DestinationAirport","Flight_Number","AirlineName","FlightDistance","TailNumber","ScheduledDepartureTime","ScheduledArrivalTime"
"Albuquerque International Sunport","299","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N998DL","1998-09-25T07:17Z","1998-09-25T12:16Z"
"Albuquerque International Sunport","283","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N380DA","2010-05-05T08:26Z","2010-05-05T13:09Z"
"Albuquerque International Sunport","305","Hartsfield-Jackson Atlanta International","1398","Delta Air Lines Inc.","1269","N916DN","2013-09-05T07:59Z","2013-09-05T13:04Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N375D1","2001-05-09T06:55Z","2001-05-09T11:56Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N344NW","2015-05-24T06:20Z","2015-05-24T11:13Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N680DA","2012-05-15T13:11Z","2012-05-15T18:09Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N2819W","1995-01-28T07:40Z","1995-01-28T12:21Z"
"Albuquerque International Sunport","310","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N542D1","2001-09-04T11:25Z","2001-09-04T16:35Z"
"Albuquerque International Sunport","303","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N943DL","1997-01-20T07:36Z","1997-01-20T12:39Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N523US","2012-09-12T13:02Z","2012-09-12T18:00Z"
"Albuquerque International Sunport","280","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N912DL","1996-01-17T00:47Z","1996-01-17T05:27Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","487","Delta Air Lines Inc.","1269","N385D1","2001-01-01T11:52Z","2001-01-01T16:50Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N379DA","2000-09-01T07:58Z","2000-09-01T12:55Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N903DE","1999-09-04T00:45Z","1999-09-04T05:37Z"
"Albuquerque International Sunport","278","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N962DL","1999-05-30T00:55Z","1999-05-30T05:33Z"
"Albuquerque International Sunport","313","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N221DL","2000-05-31T11:27Z","2000-05-31T16:40Z"
"Albuquerque International Sunport","300","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N949DL","1996-09-04T00:23Z","1996-09-04T05:23Z"
"Albuquerque International Sunport","299","Hartsfield-Jackson Atlanta International","934","Delta Air Lines Inc.","1269","N3758Y","2004-05-17T06:53Z","2004-05-17T11:52Z"
"Albuquerque International Sunport","305","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N538D1","2001-01-08T07:38Z","2001-01-08T12:43Z"
"Albuquerque International Sunport","270","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N969DL","1998-05-05T00:51Z","1998-05-05T05:21Z"
"Albuquerque International Sunport","270","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N519DA","1995-01-03T07:34Z","1995-01-03T12:04Z"
"Albuquerque International Sunport","299","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N528DA","1999-09-25T07:27Z","1999-09-25T12:26Z"
"Albuquerque International Sunport","330","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N2816","2001-05-03T11:50Z","2001-05-03T17:20Z"
"Albuquerque International Sunport","307","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N954DL","1998-09-09T11:39Z","1998-09-09T16:46Z"
"Albuquerque International Sunport","282","Hartsfield-Jackson Atlanta International","934","Delta Air Lines Inc.","1269","N385DN","2003-05-02T06:49Z","2003-05-02T11:31Z"
"Albuquerque International Sunport","310","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N972DL","2016-01-14T07:08Z","2016-01-14T12:18Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","1635","Delta Air Lines Inc.","1269","N909DL","2010-01-09T06:03Z","2010-01-09T11:01Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N633DL","2016-05-15T13:26Z","2016-05-15T18:14Z"
"Albuquerque International Sunport","278","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N627DL","2016-05-01T06:11Z","2016-05-01T10:49Z"
"Albuquerque International Sunport","295","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N916DN","2013-01-23T13:27Z","2013-01-23T18:22Z"
"Albuquerque International Sunport","268","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N641DL","1997-01-26T00:49Z","1997-01-26T05:17Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N933DN","2013-01-28T13:27Z","2013-01-28T18:18Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N965DL","1998-05-11T13:44Z","1998-05-11T18:37Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","1532","Delta Air Lines Inc.","1269","N553NW","2011-09-06T09:27Z","2011-09-06T14:23Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N634DL","1995-09-07T07:35Z","1995-09-07T12:23Z"
"Albuquerque International Sunport","291","Hartsfield-Jackson Atlanta International","1398","Delta Air Lines Inc.","1269","N930DN","2013-09-22T07:53Z","2013-09-22T12:44Z"
"Albuquerque International Sunport","295","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N538DA","1999-01-14T07:25Z","1999-01-14T12:20Z"
"Albuquerque International Sunport","283","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N976DL","1998-09-30T00:35Z","1998-09-30T05:18Z"
"Albuquerque International Sunport","284","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N619DL","1997-01-01T00:54Z","1997-01-01T05:38Z"
"Albuquerque International Sunport","333","Hartsfield-Jackson Atlanta International","1833","Delta Air Lines Inc.","1269","N921DL","2009-09-16T13:15Z","2009-09-16T18:48Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N6701","2016-05-03T06:19Z","2016-05-03T11:13Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N925DL","1997-09-08T07:28Z","1997-09-08T12:13Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","1976","Delta Air Lines Inc.","1269","N377DA","2009-05-09T13:11Z","2009-05-09T17:56Z"
"Albuquerque International Sunport","288","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N540US","2013-05-16T06:29Z","2013-05-16T11:17Z"
