"AirportCode","Airline","FlightCount"
"ATL","Delta Air Lines Inc.","34751"
"DFW","American Airlines Inc.","26782"
"ORD","United Air Lines Inc.","17754"
"CLT","US Airways Inc.","16225"
"ORD","American Airlines Inc.","13821"
"DEN","United Air Lines Inc.","12930"
"DTW","Northwest Airlines Inc.","11550"
"MSP","Northwest Airlines Inc.","11251"
"IAH","Continental Air Lines Inc.","11240"
"LAS","Southwest Airlines Co.","11048"
"PHX","Southwest Airlines Co.","10194"
"SFO","United Air Lines Inc.","10151"
"PHL","US Airways Inc.","9775"
"MDW","Southwest Airlines Co.","9637"
"PIT","US Airways Inc.","8759"
"ATL","ExpressJet Airlines Inc.","8638"
"HOU","Southwest Airlines Co.","7819"
"DFW","Envoy Air","7775"
"BWI","Southwest Airlines Co.","7755"
"SEA","Alaska Airlines Inc.","7731"
"STL","Trans World Airways LLC","7729"
"EWR","Continental Air Lines Inc.","7661"
"ORD","Envoy Air","7432"
"SLC","Delta Air Lines Inc.","7401"
"LAX","United Air Lines Inc.","7316"
"MIA","American Airlines Inc.","7244"
"CVG","Delta Air Lines Inc.","7148"
"DAL","Southwest Airlines Co.","7140"
"LAX","Southwest Airlines Co.","6944"
"PHX","America West Airlines Inc.","6800"
"OAK","Southwest Airlines Co.","6660"
"SLC","SkyWest Airlines Inc.","5660"
"SAN","Southwest Airlines Co.","5145"
"LAX","American Airlines Inc.","5145"
"STL","Southwest Airlines Co.","4733"
"ATL","AirTran Airways Corporation","4686"
"DFW","Delta Air Lines Inc.","4561"
"BNA","Southwest Airlines Co.","4472"
"LAX","SkyWest Airlines Inc.","4469"
"DEN","SkyWest Airlines Inc.","4314"
"MSP","Delta Air Lines Inc.","4182"
"DCA","US Airways Inc.","4160"
"SJC","Southwest Airlines Co.","4152"
"LGA","Delta Air Lines Inc.","4067"
"PHX","US Airways Inc.","4043"
"MCO","Southwest Airlines Co.","4008"
"SFO","SkyWest Airlines Inc.","3966"
"SMF","Southwest Airlines Co.","3953"
"IAD","United Air Lines Inc.","3950"
"DTW","Delta Air Lines Inc.","3942"
"DEN","Southwest Airlines Co.","3837"
"JFK","JetBlue Airways","3782"
"MEM","Northwest Airlines Inc.","3771"
"MCO","Delta Air Lines Inc.","3746"
"BOS","US Airways Inc.","3643"
"IAH","ExpressJet Airlines Inc. (1)","3585"
"MCI","Southwest Airlines Co.","3461"
"IAH","United Air Lines Inc.","3343"
"ABQ","Southwest Airlines Co.","3282"
"TPA","Southwest Airlines Co.","3248"
"LAX","Delta Air Lines Inc.","3246"
"LGA","US Airways Inc.","3246"
"LGA","American Airlines Inc.","3122"
"EWR","United Air Lines Inc.","3116"
"CLE","Continental Air Lines Inc.","3021"
"IAH","ExpressJet Airlines Inc.","3013"
"BUR","Southwest Airlines Co.","3009"
"BOS","Delta Air Lines Inc.","2939"
"MSY","Southwest Airlines Co.","2925"
"LAS","America West Airlines Inc.","2864"
"ONT","Southwest Airlines Co.","2857"
"AUS","Southwest Airlines Co.","2806"
"STL","American Airlines Inc.","2798"
"SAT","Southwest Airlines Co.","2731"
"DEN","Frontier Airlines Inc.","2716"
"JFK","Delta Air Lines Inc.","2715"
"HNL","Hawaiian Airlines Inc.","2688"
"ANC","Alaska Airlines Inc.","2591"
"ORD","SkyWest Airlines Inc.","2584"
"BOS","American Airlines Inc.","2464"
"BOS","JetBlue Airways","2461"
"BWI","US Airways Inc.","2457"
"PDX","Alaska Airlines Inc.","2420"
"ORD","ExpressJet Airlines Inc.","2337"
"SLC","Southwest Airlines Co.","2303"
"JFK","American Airlines Inc.","2295"
"ELP","Southwest Airlines Co.","2237"
"SEA","Southwest Airlines Co.","2212"
"FLL","Southwest Airlines Co.","2172"
"SEA","United Air Lines Inc.","2137"
"LAS","United Air Lines Inc.","2135"
"EWR","ExpressJet Airlines Inc. (1)","2107"
"DCA","Delta Air Lines Inc.","2084"
"RNO","Southwest Airlines Co.","2057"
"SFO","American Airlines Inc.","2026"
"DCA","American Airlines Inc.","2009"
"MCO","US Airways Inc.","2000"
"PDX","Southwest Airlines Co.","1967"
"FLL","Delta Air Lines Inc.","1949"
"BOS","United Air Lines Inc.","1948"
"TPA","Delta Air Lines Inc.","1928"
"SNA","Southwest Airlines Co.","1899"
"SJU","American Airlines Inc.","1819"
"LAX","Envoy Air","1754"
"LAS","Delta Air Lines Inc.","1692"
"SAN","United Air Lines Inc.","1670"
"DTW","Endeavor Air Inc.","1654"
"MCO","American Airlines Inc.","1638"
"EWR","ExpressJet Airlines Inc.","1635"
"PHX","American Airlines Inc.","1592"
"DFW","ExpressJet Airlines Inc.","1570"
