"AirportCode","AirportName","City","State","FlightCount"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta","Georgia","55962"
"ORD","Chicago O'Hare International","Chicago","Illinois","51411"
"DFW","Dallas/Fort Worth International","Dallas/Fort Worth","Texas","45306"
"LAX","Los Angeles International","Los Angeles","California","35228"
"PHX","Phoenix Sky Harbor International","Phoenix","Arizona","29696"
"DEN","Denver International","Denver","Colorado","29449"
"IAH","George Bush Intercontinental/Houston","Houston","Texas","25693"
"SFO","San Francisco International","San Francisco","California","24087"
"LAS","McCarran International","Las Vegas","Nevada","23692"
"DTW","Detroit Metro Wayne County","Detroit","Michigan","23371"
"MSP","Minneapolis-St Paul International","Minneapolis","Minnesota","22034"
"CLT","Charlotte Douglas International","Charlotte","North Carolina","21297"
"EWR","Newark Liberty International","Newark","New Jersey","20042"
"BOS","Logan International","Boston","Massachusetts","18440"
"STL","Lambert-St. Louis International","St. Louis","Missouri","18035"
"SEA","Seattle/Tacoma International","Seattle","Washington","17675"
"SLC","Salt Lake City International","Salt Lake City","Utah","17583"
"MCO","Orlando International","Orlando","Florida","17402"
"LGA","LaGuardia","New York","New York","17251"
"PHL","Philadelphia International","Philadelphia","Pennsylvania","16475"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","Maryland","15465"
"DCA","Ronald Reagan Washington National","Washington","Virginia","13465"
"SAN","San Diego International","San Diego","California","12982"
"JFK","John F. Kennedy International","New York","New York","12840"
"PIT","Pittsburgh International","Pittsburgh","Pennsylvania","12235"
"MIA","Miami International","Miami","Florida","12082"
"MDW","Chicago Midway International","Chicago","Illinois","11900"
"CVG","Cincinnati/Northern Kentucky International","Cincinnati","Kentucky","11337"
"TPA","Tampa International","Tampa","Florida","10794"
"IAD","Washington Dulles International","Washington","Virginia","10721"
"CLE","Cleveland-Hopkins International","Cleveland","Ohio","9716"
"OAK","Metropolitan Oakland International","Oakland","California","9504"
"FLL","Fort Lauderdale-Hollywood International","Fort Lauderdale","Florida","9397"
"PDX","Portland International","Portland","Oregon","9321"
"HOU","William P Hobby","Houston","Texas","9233"
"BNA","Nashville International","Nashville","Tennessee","9214"
"MCI","Kansas City International","Kansas City","Missouri","8931"
