"AirportCode","Airline","FlightCount"
"ATL","Delta Air Lines Inc.","35118"
"DFW","American Airlines Inc.","26842"
"ORD","United Air Lines Inc.","17833"
"CLT","US Airways Inc.","16241"
"ORD","American Airlines Inc.","13866"
"DEN","United Air Lines Inc.","12777"
"DTW","Northwest Airlines Inc.","11650"
"MSP","Northwest Airlines Inc.","11276"
"IAH","Continental Air Lines Inc.","11253"
"LAS","Southwest Airlines Co.","11001"
"PHX","Southwest Airlines Co.","10204"
"SFO","United Air Lines Inc.","10182"
"PHL","US Airways Inc.","9684"
"MDW","Southwest Airlines Co.","9609"
"PIT","US Airways Inc.","8811"
"ATL","ExpressJet Airlines Inc.","8731"
"HOU","Southwest Airlines Co.","7894"
"BWI","Southwest Airlines Co.","7809"
"DFW","Envoy Air","7754"
"STL","Trans World Airways LLC","7726"
"SEA","Alaska Airlines Inc.","7659"
"EWR","Continental Air Lines Inc.","7614"
"SLC","Delta Air Lines Inc.","7475"
"ORD","Envoy Air","7451"
"LAX","United Air Lines Inc.","7320"
"MIA","American Airlines Inc.","7217"
"CVG","Delta Air Lines Inc.","7190"
"DAL","Southwest Airlines Co.","7130"
"LAX","Southwest Airlines Co.","6912"
"PHX","America West Airlines Inc.","6794"
"OAK","Southwest Airlines Co.","6681"
"SLC","SkyWest Airlines Inc.","5760"
"SAN","Southwest Airlines Co.","5209"
"LAX","American Airlines Inc.","5121"
"ATL","AirTran Airways Corporation","4652"
"STL","Southwest Airlines Co.","4650"
"DFW","Delta Air Lines Inc.","4520"
"LAX","SkyWest Airlines Inc.","4451"
"BNA","Southwest Airlines Co.","4421"
"DEN","SkyWest Airlines Inc.","4325"
"MSP","Delta Air Lines Inc.","4178"
"PHX","US Airways Inc.","4133"
"SJC","Southwest Airlines Co.","4132"
"DCA","US Airways Inc.","4121"
"LGA","Delta Air Lines Inc.","4111"
"SFO","SkyWest Airlines Inc.","4028"
"MCO","Southwest Airlines Co.","4019"
"IAD","United Air Lines Inc.","4015"
"DEN","Southwest Airlines Co.","3882"
"SMF","Southwest Airlines Co.","3876"
"JFK","JetBlue Airways","3762"
"MEM","Northwest Airlines Inc.","3755"
"DTW","Delta Air Lines Inc.","3746"
"MCO","Delta Air Lines Inc.","3702"
"IAH","ExpressJet Airlines Inc. (1)","3659"
"BOS","US Airways Inc.","3626"
"MCI","Southwest Airlines Co.","3482"
"IAH","United Air Lines Inc.","3347"
"LAX","Delta Air Lines Inc.","3321"
"ABQ","Southwest Airlines Co.","3289"
"LGA","US Airways Inc.","3275"
"TPA","Southwest Airlines Co.","3220"
