"AirportCode","AirportName","City","State","FlightCount"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta","Georgia","55526"
"ORD","Chicago O'Hare International","Chicago","Illinois","51353"
"DFW","Dallas/Fort Worth International","Dallas/Fort Worth","Texas","45338"
"LAX","Los Angeles International","Los Angeles","California","35183"
"PHX","Phoenix Sky Harbor International","Phoenix","Arizona","29678"
"DEN","Denver International","Denver","Colorado","29570"
"IAH","George Bush Intercontinental/Houston","Houston","Texas","25445"
"SFO","San Francisco International","San Francisco","California","24036"
"LAS","McCarran International","Las Vegas","Nevada","23635"
"DTW","Detroit Metro Wayne County","Detroit","Michigan","23449"
"MSP","Minneapolis-St Paul International","Minneapolis","Minnesota","22010"
"CLT","Charlotte Douglas International","Charlotte","North Carolina","21240"
"EWR","Newark Liberty International","Newark","New Jersey","20111"
"BOS","Logan International","Boston","Massachusetts","18404"
"STL","Lambert-St. Louis International","St. Louis","Missouri","18153"
"SEA","Seattle/Tacoma International","Seattle","Washington","17675"
"SLC","Salt Lake City International","Salt Lake City","Utah","17454"
"MCO","Orlando International","Orlando","Florida","17384"
"LGA","LaGuardia","New York","New York","17172"
"PHL","Philadelphia International","Philadelphia","Pennsylvania","16621"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","Maryland","15316"
"DCA","Ronald Reagan Washington National","Washington","Virginia","13521"
"JFK","John F. Kennedy International","New York","New York","12983"
"SAN","San Diego International","San Diego","California","12944"
"PIT","Pittsburgh International","Pittsburgh","Pennsylvania","12112"
"MIA","Miami International","Miami","Florida","12104"
"MDW","Chicago Midway International","Chicago","Illinois","11961"
"CVG","Cincinnati/Northern Kentucky International","Cincinnati","Kentucky","11218"
"TPA","Tampa International","Tampa","Florida","10796"
"IAD","Washington Dulles International","Washington","Virginia","10562"
"CLE","Cleveland-Hopkins International","Cleveland","Ohio","9767"
"FLL","Fort Lauderdale-Hollywood International","Fort Lauderdale","Florida","9587"
"OAK","Metropolitan Oakland International","Oakland","California","9544"
"BNA","Nashville International","Nashville","Tennessee","9271"
"HOU","William P Hobby","Houston","Texas","9172"
"PDX","Portland International","Portland","Oregon","9159"
"MCI","Kansas City International","Kansas City","Missouri","8947"
"SJC","Norman Y. Mineta San Jose International","San Jose","California","8671"
"MSY","Louis Armstrong New Orleans International","New Orleans","Louisiana","7943"
"DAL","Dallas Love Field","Dallas","Texas","7639"
"MEM","Memphis International","Memphis","Tennessee","7631"
"SMF","Sacramento International","Sacramento","California","7295"
"AUS","Austin - Bergstrom International","Austin","Texas","7138"
"SNA","John Wayne Airport-Orange County","Santa Ana","California","7048"
"RDU","Raleigh-Durham International","Raleigh/Durham","North Carolina","6873"
"SAT","San Antonio International","San Antonio","Texas","6469"
"IND","Indianapolis International","Indianapolis","Indiana","5893"
"ABQ","Albuquerque International Sunport","Albuquerque","New Mexico","5804"
"CMH","Port Columbus International","Columbus","Ohio","5789"
"HNL","Honolulu International","Honolulu","Hawaii","5539"
"ONT","Ontario International","Ontario","California","5282"
"BDL","Bradley International","Hartford","Connecticut","4645"
"BUR","Bob Hope","Burbank","California","4536"
"MKE","General Mitchell International","Milwaukee","Wisconsin","4426"
"JAX","Jacksonville International","Jacksonville","Florida","4141"
