"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1998-09-25T07:17Z","1998-09-25T12:16Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2010-05-05T08:26Z","2010-05-05T13:09Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1398","1269","2013-09-05T07:59Z","2013-09-05T13:04Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2001-05-09T06:55Z","2001-05-09T11:56Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1577","1269","2015-05-24T06:20Z","2015-05-24T11:13Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2012-05-15T13:11Z","2012-05-15T18:09Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1100","1269","1995-01-28T07:40Z","1995-01-28T12:21Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","602","1269","2001-09-04T11:25Z","2001-09-04T16:35Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","1997-01-20T07:36Z","1997-01-20T12:39Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2012-09-12T13:02Z","2012-09-12T18:00Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1996-01-17T00:47Z","1996-01-17T05:27Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","487","1269","2001-01-01T11:52Z","2001-01-01T16:50Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2000-09-01T07:58Z","2000-09-01T12:55Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1999-09-04T00:45Z","1999-09-04T05:37Z","Hartsfield-Jackson Atlanta International"
