"Airline","AirlineCode","Number_of_Flights"
"Delta Air Lines Inc.","DL","135194"
"Southwest Airlines Co.","WN","167493"
"American Airlines Inc.","AA","110625"
"Envoy Air","MQ","44266"
"United Air Lines Inc.","UA","98318"
"SkyWest Airlines Inc.","OO","51219"
"America West Airlines Inc.","HP","19654"
"ExpressJet Airlines Inc.","EV","42162"
"Continental Air Lines Inc.","CO","42912"
"ExpressJet Airlines Inc. (1)","XE","16255"
"Northwest Airlines Inc.","NW","51879"
"JetBlue Airways","B6","18457"
"Mesa Airlines Inc.","YV","8267"
"US Airways Inc.","US","89157"
"Alaska Airlines Inc.","AS","26048"
"Trans World Airways LLC","TW","17321"
"Frontier Airlines Inc.","F9","6361"
"Endeavor Air Inc.","9E","7632"
"Independence Air","DH","5362"
"Comair Inc.","OH","6315"
"AirTran Airways Corporation","FL","14679"
"Spirit Air Lines","NK","2036"
"Virgin America","VX","2710"
"ATA Airlines d/b/a ATA","TZ","1400"
"Hawaiian Airlines Inc.","HA","5960"
"Aloha Airlines Inc.","KH","616"
