"AirportCode","AirportName","City","StateShorthand","StateName"
"ABQ","Albuquerque International Sunport","Albuquerque","NM","New Mexico"
"ABY","Southwest Georgia Regional","Albany","GA","Georgia"
"ALB","Albany International","Albany","NY","New York"
"ABI","Abilene Regional","Abilene","TX","Texas"
"CAK","Akron-Canton Regional","Akron","OH","Ohio"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta","GA","Georgia"
"BHM","Birmingham-Shuttlesworth International","Birmingham","AL","Alabama"
"BIL","Billings Logan International","Billings","MT","Montana"
"BGM","Greater Binghamton/Edwin A. Link Field","Binghamton","NY","New York"
"RDM","Roberts Field","Bend/Redmond","OR","Oregon"
"BET","Bethel Airport","Bethel","AK","Alaska"
"BTR","Baton Rouge Metropolitan/Ryan Field","Baton Rouge","LA","Louisiana"
"BPT","Jack Brooks Regional","Beaumont/Port Arthur","TX","Texas"
"BLI","Bellingham International","Bellingham","WA","Washington"
"BJI","Bemidji Regional","Bemidji","MN","Minnesota"
"BRW","Wiley Post/Will Rogers Memorial","Barrow","AK","Alaska"
"BGR","Bangor International","Bangor","ME","Maine"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","MD","Maryland"
"AUS","Austin - Bergstrom International","Austin","TX","Texas"
"MDW","Chicago Midway International","Chicago","IL","Illinois"
"ORD","Chicago O'Hare International","Chicago","IL","Illinois"
"AMA","Rick Husband Amarillo International","Amarillo","TX","Texas"
"ACV","Arcata","Arcata/Eureka","CA","California"
"AGS","Augusta Regional at Bush Field","Augusta","GA","Georgia"
"ACY","Atlantic City International","Atlantic City","NJ","New Jersey"
"ANC","Ted Stevens Anchorage International","Anchorage","AK","Alaska"
"ATW","Appleton International","Appleton","WI","Wisconsin"
"ANI","Aniak Airport","Aniak","AK","Alaska"
"AVL","Asheville Regional","Asheville","NC","North Carolina"
"APN","Alpena County Regional","Alpena","MI","Michigan"
"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton","PA","Pennsylvania"
"BFL","Meadows Field","Bakersfield","CA","California"
"ASE","Aspen Pitkin County Sardy Field","Aspen","CO","Colorado"
"HTS","Tri-State/Milton J. Ferguson Field","Ashland","WV","West Virginia"
"CLT","Charlotte Douglas International","Charlotte","NC","North Carolina"
"CRW","Yeager","Charleston/Dunbar","WV","West Virginia"
"CPR","Casper/Natrona County International","Casper","WY","Wyoming"
"CDC","Cedar City Regional","Cedar City","UT","Utah"
"CHS","Charleston AFB/International","Charleston","SC","South Carolina"
"CID","The Eastern Iowa","Cedar Rapids/Iowa City","IA","Iowa"
"CMI","University of Illinois/Willard","Champaign/Urbana","IL","Illinois"
"CLD","McClellan-Palomar","Carlsbad","CA","California"
"BTM","Bert Mooney","Butte","MT","Montana"
"BTV","Burlington International","Burlington","VT","Vermont"
"BUR","Bob Hope","Burbank","CA","California"
"BQN","Rafael Hernandez","Aguadilla","PR","Puerto Rico"
"ADK","Adak","Adak Island","AK","Alaska"
"ABR","Aberdeen Regional","Aberdeen","SD","South Dakota"
"AEX","Alexandria International","Alexandria","LA","Louisiana"
"TRI","Tri-Cities Regional TN/VA","Bristol/Johnson City/Kingsport","TN","Tennessee"
"BRO","Brownsville South Padre Island International","Brownsville","TX","Texas"
"BUF","Buffalo Niagara International","Buffalo","NY","New York"
"BQK","Brunswick Golden Isles","Brunswick","GA","Georgia"
"BZN","Bozeman Yellowstone International","Bozeman","MT","Montana"
"BRD","Brainerd Lakes Regional","Brainerd","MN","Minnesota"
"BKG","Branson Airport","Branson","MO","Missouri"
"BOS","Logan International","Boston","MA","Massachusetts"
"BIS","Bismarck Municipal","Bismarck/Mandan","ND","North Dakota"
"BOI","Boise Air Terminal","Boise","ID","Idaho"
"DFW","Dallas/Fort Worth International","Dallas/Fort Worth","TX","Texas"
"TYS","McGhee Tyson","Knoxville","TN","Tennessee"
"EYW","Key West International","Key West","FL","Florida"
"ILE","Skylark Field","Killeen","TX","Texas"
"MCI","Kansas City International","Kansas City","MO","Missouri"
"LMT","Klamath Falls Airport","Klamath Falls","OR","Oregon"
"GRK","Robert Gray AAF","Killeen","TX","Texas"
"AKN","King Salmon Airport","King Salmon","AK","Alaska"
"KTN","Ketchikan International","Ketchikan","AK","Alaska"
"ADQ","Kodiak Airport","Kodiak","AK","Alaska"
"LRD","Laredo International","Laredo","TX","Texas"
"LAN","Capital Region International","Lansing","MI","Michigan"
"LAR","Laramie Regional","Laramie","WY","Wyoming"
"LCH","Lake Charles Regional","Lake Charles","LA","Louisiana"
"LNY","Lanai Airport","Lanai","HI","Hawaii"
"LFT","Lafayette Regional Paul Fournet Field","Lafayette","LA","Louisiana"
"LSE","La Crosse Regional","La Crosse","WI","Wisconsin"
"KOA","Kona International Airport at Keahole","Kona","HI","Hawaii"
"OTZ","Ralph Wien Memorial","Kotzebue","AK","Alaska"
"LAS","McCarran International","Las Vegas","NV","Nevada"
"LIH","Lihue Airport","Lihue","HI","Hawaii"
"LEX","Blue Grass","Lexington","KY","Kentucky"
"LWS","Lewiston Nez Perce County","Lewiston","ID","Idaho"
"LWB","Greenbrier Valley","Lewisburg","WV","West Virginia"
"LBE","Arnold Palmer Regional","Latrobe","PA","Pennsylvania"
"LIT","Bill and Hillary Clinton Nat Adams Field","Little Rock","AR","Arkansas"
"LNK","Lincoln Airport","Lincoln","NE","Nebraska"
"GGG","East Texas Regional","Longview","TX","Texas"
"LGB","Long Beach Airport","Long Beach","CA","California"
"LAX","Los Angeles International","Los Angeles","CA","California"
"FCA","Glacier Park International","Kalispell","MT","Montana"
"IAH","George Bush Intercontinental/Houston","Houston","TX","Texas"
"HOU","William P Hobby","Houston","TX","Texas"
"OGG","Kahului Airport","Kahului","HI","Hawaii"
"AZO","Kalamazoo/Battle Creek International","Kalamazoo","MI","Michigan"
"JNU","Juneau International","Juneau","AK","Alaska"
"JAX","Jacksonville International","Jacksonville","FL","Florida"
"JMS","Jamestown Regional","Jamestown","ND","North Dakota"
"JLN","Joplin Regional","Joplin","MO","Missouri"
"OAJ","Albert J Ellis","Jacksonville/Camp Lejeune","NC","North Carolina"
"HSV","Huntsville International-Carl T Jones Field","Huntsville","AL","Alabama"
"ISP","Long Island MacArthur","Islip","NY","New York"
"JAN","Jackson Medgar Wiley Evers International","Jackson/Vicksburg","MS","Mississippi"
"JAC","Jackson Hole","Jackson","WY","Wyoming"
"IND","Indianapolis International","Indianapolis","IN","Indiana"
"ITH","Ithaca Tompkins Regional","Ithaca/Cortland","NY","New York"
"IYK","Inyokern Airport","Inyokern","CA","California"
