"Index","Origin","Destination","TotalCost","AirportCodes","Cost","Path"
"4","MKE","CAK","1.0","[""MKE"",""CAK""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4062,""type"":""PATH_4"",""start"":185,""end"":4,""properties"":{""cost"":1.0}},{""id"":4,""labels"":[""Airport""],""properties"":{""airportState_code"":""OH"",""airport_name"":""Akron-Canton Regional"",""airport_code"":""CAK"",""airport_city"":""Akron"",""id"":101,""airportState_name"":""Ohio""}}]"
"5","MKE","ATL","1.0","[""MKE"",""ATL""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4063,""type"":""PATH_5"",""start"":185,""end"":5,""properties"":{""cost"":1.0}},{""id"":5,""labels"":[""Airport""],""properties"":{""airportState_code"":""GA"",""airport_name"":""Hartsfield-Jackson Atlanta International"",""airport_code"":""ATL"",""airport_city"":""Atlanta"",""id"":31,""airportState_name"":""Georgia""}}]"
"17","MKE","BWI","1.0","[""MKE"",""BWI""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4088,""type"":""PATH_17"",""start"":185,""end"":17,""properties"":{""cost"":1.0}},{""id"":17,""labels"":[""Airport""],""properties"":{""airportState_code"":""MD"",""airport_name"":""Baltimore/Washington International Thurgood Marshall"",""airport_code"":""BWI"",""airport_city"":""Baltimore"",""id"":176,""airportState_name"":""Maryland""}}]"
"20","MKE","ORD","1.0","[""MKE"",""ORD""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4093,""type"":""PATH_20"",""start"":185,""end"":20,""properties"":{""cost"":1.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}}]"
"26","MKE","ATW","1.0","[""MKE"",""ATW""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4104,""type"":""PATH_26"",""start"":185,""end"":26,""properties"":{""cost"":1.0}},{""id"":26,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""Appleton International"",""airport_code"":""ATW"",""airport_city"":""Appleton"",""id"":70,""airportState_name"":""Wisconsin""}}]"
"34","MKE","CLT","1.0","[""MKE"",""CLT""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4120,""type"":""PATH_34"",""start"":185,""end"":34,""properties"":{""cost"":1.0}},{""id"":34,""labels"":[""Airport""],""properties"":{""airportState_code"":""NC"",""airport_name"":""Charlotte Douglas International"",""airport_code"":""CLT"",""airport_city"":""Charlotte"",""id"":243,""airportState_name"":""North Carolina""}}]"
"55","MKE","BKG","1.0","[""MKE"",""BKG""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4162,""type"":""PATH_55"",""start"":185,""end"":55,""properties"":{""cost"":1.0}},{""id"":55,""labels"":[""Airport""],""properties"":{""airportState_code"":""MO"",""airport_name"":""Branson Airport"",""airport_code"":""BKG"",""airport_city"":""Branson"",""id"":4,""airportState_name"":""Missouri""}}]"
"56","MKE","BOS","1.0","[""MKE"",""BOS""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4163,""type"":""PATH_56"",""start"":185,""end"":56,""properties"":{""cost"":1.0}},{""id"":56,""labels"":[""Airport""],""properties"":{""airportState_code"":""MA"",""airport_name"":""Logan International"",""airport_code"":""BOS"",""airport_city"":""Boston"",""id"":86,""airportState_name"":""Massachusetts""}}]"
"59","MKE","DFW","1.0","[""MKE"",""DFW""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4168,""type"":""PATH_59"",""start"":185,""end"":59,""properties"":{""cost"":1.0}},{""id"":59,""labels"":[""Airport""],""properties"":{""airportState_code"":""TX"",""airport_name"":""Dallas/Fort Worth International"",""airport_code"":""DFW"",""airport_city"":""Dallas/Fort Worth"",""id"":278,""airportState_name"":""Texas""}}]"
"63","MKE","MCI","1.0","[""MKE"",""MCI""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-4175,""type"":""PATH_63"",""start"":185,""end"":63,""properties"":{""cost"":1.0}},{""id"":63,""labels"":[""Airport""],""properties"":{""airportState_code"":""MO"",""airport_name"":""Kansas City International"",""airport_code"":""MCI"",""airport_city"":""Kansas City"",""id"":335,""airportState_name"":""Missouri""}}]"
