"Index","Origin","Destination","TotalCost","AirportCodes","Cost","Path"
"1","MKE","CAK","1.0","[""MKE"",""CAK""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2704,""type"":""PATH_1"",""start"":185,""end"":4,""properties"":{""cost"":1.0}},{""id"":4,""labels"":[""Airport""],""properties"":{""airportState_code"":""OH"",""airport_name"":""Akron-Canton Regional"",""airport_code"":""CAK"",""airport_city"":""Akron"",""id"":101,""airportState_name"":""Ohio""}}]"
"2","MKE","DSM","1.0","[""MKE"",""DSM""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2705,""type"":""PATH_2"",""start"":185,""end"":339,""properties"":{""cost"":1.0}},{""id"":339,""labels"":[""Airport""],""properties"":{""airportState_code"":""IA"",""airport_name"":""Des Moines International"",""airport_code"":""DSM"",""airport_city"":""Des Moines"",""id"":172,""airportState_name"":""Iowa""}}]"
"3","MKE","ATL","1.0","[""MKE"",""ATL""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2706,""type"":""PATH_3"",""start"":185,""end"":5,""properties"":{""cost"":1.0}},{""id"":5,""labels"":[""Airport""],""properties"":{""airportState_code"":""GA"",""airport_name"":""Hartsfield-Jackson Atlanta International"",""airport_code"":""ATL"",""airport_city"":""Atlanta"",""id"":31,""airportState_name"":""Georgia""}}]"
"4","MKE","DEN","1.0","[""MKE"",""DEN""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2707,""type"":""PATH_4"",""start"":185,""end"":338,""properties"":{""cost"":1.0}},{""id"":338,""labels"":[""Airport""],""properties"":{""airportState_code"":""CO"",""airport_name"":""Denver International"",""airport_code"":""DEN"",""airport_city"":""Denver"",""id"":311,""airportState_name"":""Colorado""}}]"
"5","MKE","ORD","1.0","[""MKE"",""ORD""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2708,""type"":""PATH_5"",""start"":185,""end"":20,""properties"":{""cost"":1.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}}]"
"6","MKE","BOS","1.0","[""MKE"",""BOS""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2709,""type"":""PATH_6"",""start"":185,""end"":56,""properties"":{""cost"":1.0}},{""id"":56,""labels"":[""Airport""],""properties"":{""airportState_code"":""MA"",""airport_name"":""Logan International"",""airport_code"":""BOS"",""airport_city"":""Boston"",""id"":86,""airportState_name"":""Massachusetts""}}]"
"7","MKE","MQT","1.0","[""MKE"",""MQT""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2710,""type"":""PATH_7"",""start"":185,""end"":119,""properties"":{""cost"":1.0}},{""id"":119,""labels"":[""Airport""],""properties"":{""airportState_code"":""MI"",""airport_name"":""Sawyer International"",""airport_code"":""MQT"",""airport_city"":""Marquette"",""id"":5,""airportState_name"":""Michigan""}}]"
"8","MKE","SFO","1.0","[""MKE"",""SFO""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2711,""type"":""PATH_8"",""start"":185,""end"":205,""properties"":{""cost"":1.0}},{""id"":205,""labels"":[""Airport""],""properties"":{""airportState_code"":""CA"",""airport_name"":""San Francisco International"",""airport_code"":""SFO"",""airport_city"":""San Francisco"",""id"":293,""airportState_name"":""California""}}]"
"9","MKE","SEA","1.0","[""MKE"",""SEA""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2712,""type"":""PATH_9"",""start"":185,""end"":214,""properties"":{""cost"":1.0}},{""id"":214,""labels"":[""Airport""],""properties"":{""airportState_code"":""WA"",""airport_name"":""Seattle/Tacoma International"",""airport_code"":""SEA"",""airport_city"":""Seattle"",""id"":56,""airportState_name"":""Washington""}}]"
"10","MKE","RSW","1.0","[""MKE"",""RSW""]","[0.0,1.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-2713,""type"":""PATH_10"",""start"":185,""end"":122,""properties"":{""cost"":1.0}},{""id"":122,""labels"":[""Airport""],""properties"":{""airportState_code"":""FL"",""airport_name"":""Southwest Florida International"",""airport_code"":""RSW"",""airport_city"":""Fort Myers"",""id"":154,""airportState_name"":""Florida""}}]"
