"Index","Origin","Destination","TotalCost","AirportCodes","Cost","Path"
"184","MKE","MKE","0.0","[""MKE""]","[0.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}}]"
"20","MKE","ORD","67.0","[""MKE"",""ORD""]","[0.0,67.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7555,""type"":""PATH_20"",""start"":185,""end"":20,""properties"":{""cost"":67.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}}]"
"112","MKE","MSN","74.0","[""MKE"",""MSN""]","[0.0,74.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7737,""type"":""PATH_112"",""start"":185,""end"":113,""properties"":{""cost"":74.0}},{""id"":113,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""Dane County Regional-Truax Field"",""airport_code"":""MSN"",""airport_city"":""Madison"",""id"":142,""airportState_name"":""Wisconsin""}}]"
"26","MKE","ATW","96.0","[""MKE"",""ATW""]","[0.0,96.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7566,""type"":""PATH_26"",""start"":185,""end"":26,""properties"":{""cost"":96.0}},{""id"":26,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""Appleton International"",""airport_code"":""ATW"",""airport_city"":""Appleton"",""id"":70,""airportState_name"":""Wisconsin""}}]"
"285","MKE","GRB","107.0","[""MKE"",""GRB""]","[0.0,107.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8086,""type"":""PATH_285"",""start"":185,""end"":286,""properties"":{""cost"":107.0}},{""id"":286,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""Austin Straubel International"",""airport_code"":""GRB"",""airport_city"":""Green Bay"",""id"":310,""airportState_name"":""Wisconsin""}}]"
"284","MKE","GRR","120.0","[""MKE"",""GRR""]","[0.0,120.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8085,""type"":""PATH_284"",""start"":185,""end"":285,""properties"":{""cost"":120.0}},{""id"":285,""labels"":[""Airport""],""properties"":{""airportState_code"":""MI"",""airport_name"":""Gerald R. Ford International"",""airport_code"":""GRR"",""airport_city"":""Grand Rapids"",""id"":64,""airportState_name"":""Michigan""}}]"
"215","MKE","SBN","151.0","[""MKE"",""ORD"",""SBN""]","[0.0,67.0,151.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7942,""type"":""PATH_215"",""start"":185,""end"":20,""properties"":{""cost"":67.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}},{""id"":-7943,""type"":""PATH_215"",""start"":20,""end"":216,""properties"":{""cost"":84.0}},{""id"":216,""labels"":[""Airport""],""properties"":{""airportState_code"":""IN"",""airport_name"":""South Bend International"",""airport_code"":""SBN"",""airport_city"":""South Bend"",""id"":129,""airportState_name"":""Indiana""}}]"
"276","MKE","BMI","183.0","[""MKE"",""ORD"",""BMI""]","[0.0,67.0,183.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8067,""type"":""PATH_276"",""start"":185,""end"":20,""properties"":{""cost"":67.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}},{""id"":-8068,""type"":""PATH_276"",""start"":20,""end"":277,""properties"":{""cost"":116.0}},{""id"":277,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Central Illinois Regional"",""airport_code"":""BMI"",""airport_city"":""Bloomington/Normal"",""id"":286,""airportState_name"":""Illinois""}}]"
"156","MKE","MKG","185.0","[""MKE"",""ORD"",""MKG""]","[0.0,67.0,185.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7825,""type"":""PATH_156"",""start"":185,""end"":20,""properties"":{""cost"":67.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}},{""id"":-7826,""type"":""PATH_156"",""start"":20,""end"":157,""properties"":{""cost"":118.0}},{""id"":157,""labels"":[""Airport""],""properties"":{""airportState_code"":""MI"",""airport_name"":""Muskegon County"",""airport_code"":""MKG"",""airport_city"":""Muskegon"",""id"":32,""airportState_name"":""Michigan""}}]"
"93","MKE","AZO","189.0","[""MKE"",""ORD"",""AZO""]","[0.0,67.0,189.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-7700,""type"":""PATH_93"",""start"":185,""end"":20,""properties"":{""cost"":67.0}},{""id"":20,""labels"":[""Airport""],""properties"":{""airportState_code"":""IL"",""airport_name"":""Chicago O'Hare International"",""airport_code"":""ORD"",""airport_city"":""Chicago"",""id"":48,""airportState_name"":""Illinois""}},{""id"":-7701,""type"":""PATH_93"",""start"":20,""end"":93,""properties"":{""cost"":122.0}},{""id"":93,""labels"":[""Airport""],""properties"":{""airportState_code"":""MI"",""airport_name"":""Kalamazoo/Battle Creek International"",""airport_code"":""AZO"",""airport_city"":""Kalamazoo"",""id"":258,""airportState_name"":""Michigan""}}]"
