"Index","Origin","Destination","TotalCost","AirportCodes","Cost","Path"
"0","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8216,""type"":""PATH_0"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8217,""type"":""PATH_0"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"1","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8218,""type"":""PATH_1"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8219,""type"":""PATH_1"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"2","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8220,""type"":""PATH_2"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8221,""type"":""PATH_2"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"3","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8222,""type"":""PATH_3"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8223,""type"":""PATH_3"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"4","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8224,""type"":""PATH_4"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8225,""type"":""PATH_4"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"5","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8226,""type"":""PATH_5"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8227,""type"":""PATH_5"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"6","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8228,""type"":""PATH_6"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8229,""type"":""PATH_6"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"7","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8230,""type"":""PATH_7"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8231,""type"":""PATH_7"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"8","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8232,""type"":""PATH_8"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8233,""type"":""PATH_8"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
"9","MKE","CDC","1467.0","[""MKE"",""SLC"",""CDC""]","[0.0,1246.0,1467.0]","[{""id"":185,""labels"":[""Airport""],""properties"":{""airportState_code"":""WI"",""airport_name"":""General Mitchell International"",""airport_code"":""MKE"",""airport_city"":""Milwaukee"",""id"":166,""airportState_name"":""Wisconsin""}},{""id"":-8234,""type"":""PATH_9"",""start"":185,""end"":204,""properties"":{""cost"":1246.0}},{""id"":204,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Salt Lake City International"",""airport_code"":""SLC"",""airport_city"":""Salt Lake City"",""id"":45,""airportState_name"":""Utah""}},{""id"":-8235,""type"":""PATH_9"",""start"":204,""end"":37,""properties"":{""cost"":221.0}},{""id"":37,""labels"":[""Airport""],""properties"":{""airportState_code"":""UT"",""airport_name"":""Cedar City Regional"",""airport_code"":""CDC"",""airport_city"":""Cedar City"",""id"":14,""airportState_name"":""Utah""}}]"
