"Name","Component"
"Yuma MCAS/Yuma International","0"
"Yellowstone Regional","0"
"Yellowstone","0"
"Yeager","0"
"Yampa Valley","0"
"Yakutat Airport","0"
"Wrangell Airport","0"
"Worcester Regional","0"
"Wilmington International","0"
"William P Hobby","0"
"Wilkes Barre Scranton International","0"
"Wiley Post/Will Rogers Memorial","0"
"Westchester County","0"
"Watertown International","0"
"Waterloo Regional","0"
"Washington Dulles International","0"
"Waco Regional","0"
"Visalia Municipal","0"
"Victoria Regional","0"
"Vernal Regional","0"
"Valley International","0"
"Valdosta Regional","0"
"University of Illinois/Willard","0"
"University Park","0"
"Unalaska Airport","0"
"Tyler Pounds Regional","0"
"Tweed New Haven","0"
"Tunica Municipal","0"
"Tucson International","0"
"Tri-State/Milton J. Ferguson Field","0"
"Tri-Cities Regional TN/VA","0"
"Tri Cities","0"
"Trenton Mercer","0"
"Toledo Express","0"
"Theodore Francis Green State","0"
"The Eastern Iowa","0"
"Texarkana Regional-Webb Field","0"
"Telluride Regional","0"
"Ted Stevens Anchorage International","0"
"Tampa International","0"
"Tallahassee International","0"
"Syracuse Hancock International","0"
"Stewart International","0"
"St. Mary's Airport","0"
"St. Cloud Regional","0"
"St Pete Clearwater International","0"
"St George Regional","0"
"Springfield-Branson National","0"
"Spokane International","0"
"Southwest Oregon Regional","0"
"Southwest Georgia Regional","0"
"Southwest Florida International","0"
"South Bend International","0"
"Sloulin Field International","0"
"Skylark Field","0"
"Sitka Rocky Gutierrez","0"
"Sioux Gateway/Col. Bud Day Field","0"
"Shreveport Regional","0"
"Sheppard AFB/Wichita Falls Municipal","0"
"Seattle/Tacoma International","0"
"Sawyer International","0"
"Savannah/Hilton Head International","0"
"Sarasota/Bradenton International","0"
"Santa Maria Public/Capt. G. Allan Hancock Field","0"
"Santa Fe Municipal","0"
"Santa Barbara Municipal","0"
"San Luis County Regional","0"
"San Francisco International","0"
"San Diego International","0"
"San Antonio International","0"
"San Angelo Regional/Mathis Field","0"
"Salt Lake City International","0"
"Sacramento International","0"
"Roswell International Air Center","0"
"Ronald Reagan Washington National","0"
"Rogue Valley International - Medford","0"
"Rock Springs Sweetwater County","0"
"Rochester International","0"
"Roberts Field","0"
"Robert Gray AAF","0"
"Roanoke Blacksburg Regional Woodrum Field","0"
"Rick Husband Amarillo International","0"
"Richmond International","0"
"Rhinelander/Oneida County","0"
"Reno/Tahoe International","0"
"Redding Municipal","0"
"Rapid City Regional","0"
"Range Regional","0"
"Ralph Wien Memorial","0"
"Raleigh-Durham International","0"
"Rafael Hernandez","0"
"Quad City International","0"
"Pueblo Memorial","0"
"Portland International Jetport","0"
"Portland International","0"
"Port Columbus International","0"
"Pocatello Regional","0"
"Plattsburgh International","0"
"Pittsburgh International","0"
"Piedmont Triad International","0"
"Phoenix Sky Harbor International","0"
"Phoenix - Mesa Gateway","0"
"Philadelphia International","0"
"Petersburg James A Johnson","0"
"Pensacola International","0"
"Pellston Regional Airport of Emmet County","0"
"Palm Springs International","0"
"Palm Beach International","0"
"Pago Pago International","0"
"Oxnard","0"
"Orlando International","0"
"Ontario International","0"
"Northwest Florida Beaches International","0"
"Northwest Arkansas Regional","0"
"Northeast Florida Regional","0"
"Norman Y. Mineta San Jose International","0"
"Norfolk International","0"
"Nome Airport","0"
"Niagara Falls International","0"
"Newport News/Williamsburg International","0"
"Newark Liberty International","0"
"New Castle","0"
"Nashville International","0"
"Naples Municipal","0"
"Nantucket Memorial","0"
"Myrtle Beach International","0"
"Muskegon County","0"
"Montrose Regional","0"
"Montgomery Regional","0"
"Monterey Regional","0"
"Monroe Regional","0"
"Molokai","0"
"Modesto City-County-Harry Sham Field","0"
"Mobile Regional","0"
"Missoula International","0"
"Minot International","0"
"Minot AFB","0"
"Minneapolis-St Paul International","0"
"Midland International","0"
"Middle Georgia Regional","0"
"Miami International","0"
"Metropolitan Oakland International","0"
"Merle K Mudhole Smith","0"
"Mercedita","0"
"Memphis International","0"
"Melbourne International","0"
"Meadows Field","0"
"McGhee Tyson","0"
"McClellan-Palomar","0"
"McCarran International","0"
"McAllen Miller International","0"
"Martha's Vineyard Airport","0"
"Manchester-Boston Regional","0"
"Mammoth Lakes Airport","0"
"Mahlon Sweet Field","0"
"MBS International","0"
"Lynchburg Regional/Preston Glenn Field","0"
"Luis Munoz Marin International","0"
"Lubbock Preston Smith International","0"
"Lovell Field","0"
"Louisville International-Standiford Field","0"
"Louis Armstrong New Orleans International","0"
"Los Angeles International","0"
"Long Island MacArthur","0"
"Long Beach Airport","0"
"Logan International","0"
"Lincoln Airport","0"
"Lihue Airport","0"
"Lewiston Nez Perce County","0"
"Lehigh Valley International","0"
"Lea County Regional","0"
"Laredo International","0"
"Laramie Regional","0"
"Lanai Airport","0"
"Lambert-St. Louis International","0"
"Lake Charles Regional","0"
"Lafayette Regional Paul Fournet Field","0"
"LaGuardia","0"
"La Crosse Regional","0"
"Kona International Airport at Keahole","0"
"Kodiak Airport","0"
"Klamath Falls Airport","0"
"King Salmon Airport","0"
"Key West International","0"
"Key Field","0"
"Ketchikan International","0"
"Kansas City International","0"
"Kalamazoo/Battle Creek International","0"
"Kahului Airport","0"
"Juneau International","0"
"Joslin Field - Magic Valley Regional","0"
"Joplin Regional","0"
"John Wayne Airport-Orange County","0"
