"Airport","Article_Rank_Score"
"ABQ","-0.797753592360048"
"ABY","-1.3722669059984467"
"ALB","-1.1415491262189474"
"ABI","-1.3512245294912733"
"CAK","-1.2863366360766941"
"ATL","0.9513854256629656"
"BHM","-1.0156586191783536"
"BIL","-1.3052627742077525"
"BGM","-1.3679445853403511"
"RDM","-1.351158129475647"
"BET","-1.3523104730857325"
"BTR","-1.2396246857439532"
"BPT","-1.373785330809879"
"BLI","-1.3783093201752297"
"BJI","-1.3822065204031542"
"BRW","-1.3527468226711752"
"BGR","-1.3492201280680487"
"BWI","-0.1960118327112663"
"AUS","-0.6893655156823617"
"MDW","-0.3857061582567338"
"ORD","0.822200925749594"
"AMA","-1.2477659948617772"
"ACV","-1.3463813668061826"
"AGS","-1.331881984809023"
"ACY","-1.3723784511468993"
"ANC","-0.914595179205521"
"ATW","-1.3477196676485417"
"ANI","-1.385929131546156"
"AVL","-1.318323149103907"
"APN","-1.382835277227415"
"ABE","-1.2819534413059965"
"BFL","-1.3427506285124466"
"ASE","-1.3500516007652945"
"HTS","-1.3815352948799862"
"CLT","0.06417065884607782"
"CRW","-1.324025450363545"
"CPR","-1.3589813368941983"
"CDC","-1.3773025215202137"
"CHS","-1.1705526922522527"
"CID","-1.2610660096493462"
"CMI","-1.3560610245343905"
"CLD","-1.365336910698846"
"BTM","-1.3748400568353853"
"BTV","-1.291424380609218"
"BUR","-0.908579005118286"
"BQN","-1.370709957239002"
"ADK","-1.3849708714931808"
"ABR","-1.382139645641465"
"AEX","-1.3444870671116151"
"TRI","-1.3375847141544719"
"BRO","-1.3561278103620609"
"BUF","-1.006446633299798"
"BQK","-1.3727902176924884"
"BZN","-1.319046029798563"
"BRD","-1.381956342824272"
"BKG","-1.3769065962719138"
"BOS","-0.12401576730858958"
"BIS","-1.335676080801427"
"BOI","-1.1249753928508401"
"DFW","0.7235723381390896"
"TYS","-1.1942268739211506"
"EYW","-1.353081737058415"
"ILE","-1.3680752869978705"
"MCI","-0.6000248132049303"
"LMT","-1.3784939147265018"
"GRK","-1.352714906727086"
"AKN","-1.3783770537754396"
"KTN","-1.3133709601903016"
"ADQ","-1.364093344754597"
"LRD","-1.353925226422839"
"LAN","-1.3257289907975376"
"LAR","-1.3832168532784193"
"LCH","-1.3668074862538122"
"LNY","-1.3859824833034995"
"LFT","-1.3199151967731497"
"LSE","-1.355861760422158"
"KOA","-1.2193882026030882"
"OTZ","-1.3500004915016695"
"LAS","0.07646706851491468"
"LIH","-1.22185625688276"
"LEX","-1.2575849816467075"
"LWS","-1.379111289276162"
