"Airport","Article_Rank_Score"
"ABQ","0.17392362411075485"
"ABY","0.09791531254047156"
"ALB","0.12332470155144669"
"ABI","0.09999751381488678"
"CAK","0.10670128669609799"
"ATL","1.0"
"BHM","0.13986969429341337"
"BIL","0.10470083354461496"
"BGM","0.09833944988708963"
"RDM","0.10000415387181417"
"BET","0.0998889810961688"
"BTR","0.11180375730943705"
"BPT","0.09776674832083383"
"BLI","0.09732545155473292"
"BJI","0.09694689292128152"
"BRW","0.09984540408877318"
"BGR","0.10019814998443476"
"BWI","0.31746196650057174"
"AUS","0.19383442933720374"
"MDW","0.2626083332688965"
"ORD","0.8788118098843969"
"AMA","0.11089722355356456"
"ACV","0.10048299272009777"
"AGS","0.10195054762484407"
"ACY","0.09790439117152262"
"ANC","0.1547443923560532"
"ATW","0.10034860619115789"
"ANI","0.09658666824161098"
"AVL","0.10334229224677488"
"APN","0.09688595606000758"
"ABE","0.10717000571090396"
"BFL","0.10084848326840148"
"ASE","0.10011487258464805"
"HTS","0.09701198799449538"
"CLT","0.4118011190974891"
"CRW","0.1027546803258639"
"CPR","0.09922485292443263"
"CDC","0.09742348803167242"
"CHS","0.11979921835374123"
"CID","0.1094320538277189"
"CMI","0.09951504400689586"
"CLD","0.09859622182014563"
"BTM","0.09766368554799945"
"BTV","0.10615979645814103"
"BUR","0.15567816762031728"
"BQN","0.09806788040421534"
"ADK","0.09667926774755474"
"ABR","0.09695337643843155"
"AEX","0.1006735180215539"
"TRI","0.1013708058714278"
"BRO","0.09950839803424706"
"BUF","0.14116412492659622"
"BQK","0.09786408571736022"
"BZN","0.10326761509335637"
"BRD","0.09697114989438158"
"BKG","0.09746206808726668"
"BOS","0.3411608565036132"
"BIS","0.10156447033097107"
"BOI","0.12538568418381435"
"DFW","0.7962730792998359"
"TYS","0.11699637827428724"
"EYW","0.09981197002553101"
"ILE","0.0983265975979159"
"MCI","0.21194886444183236"
"LMT","0.09730748746476338"
"GRK","0.0998485907999608"
"AKN","0.09731885957475883"
"KTN","0.10385533208736183"
"ADQ","0.09871890899281677"
"LRD","0.09972781518721731"
"LAN","0.10257978258812767"
"LAR","0.09684899375191071"
"LCH","0.09845133518600697"
"LNY","0.09658151531058454"
"LFT","0.1031778972882976"
"LSE","0.09953487575960634"
"KOA","0.11408932003792577"
"OTZ","0.10011998951282389"
"LAS","0.4168960548720104"
"LIH","0.11380808859333173"
"LEX","0.10981365366600285"
"LWS","0.09724743083913491"
"LWB","0.09678949973066144"
"LBE","0.09687783850871581"
"LIT","0.13036442303792398"
"LNK","0.10199938323533012"
"GGG","0.09769888946861492"
"LGB","0.11449335504681585"
"LAX","0.5890418452993237"
"FCA","0.10094626666892047"
"IAH","0.4815377343122978"
"HOU","0.2345420043409643"
"OGG","0.13054589172354764"
"AZO","0.10126726024650672"
"JNU","0.1105501181905751"
"JAX","0.1509533869440961"
"JMS","0.09686867599937052"
"JLN","0.09692355764869393"
"OAJ","0.09802427668976858"
"HSV","0.11223187013816667"
"ISP","0.11235452445218422"
"JAN","0.11702558166986728"
"JAC","0.10181682238326852"
"IND","0.17236347274420272"
"ITH","0.09839798310617494"
"IYK","0.09717878738667016"
"IMT","0.09700653210243762"
"INL","0.09696872519538363"
"IDA","0.10084003334259592"
"HYA","0.09656451014769575"
"EFD","0.09687580985003352"
"SDF","0.14090801189374996"
"MHT","0.12152106907041697"
"MSN","0.11257716853853844"
"MMH","0.0967083335003576"
"LBB","0.11418453478059627"
"LYH","0.09702524648891185"
"MCN","0.0969676163129116"
"MFR","0.1022562865622768"
"MQT","0.0975984003370211"
"MVY","0.09664813807929414"
"MAZ","0.09657618207680174"
"RSW","0.1423862075315058"
"MLB","0.10088483210422115"
"HNL","0.19257852341259307"
"MKK","0.09659371506542878"
"BDL","0.15698199750497854"
"MEM","0.20663543238786186"
"HLN","0.09988025427178404"
"HDN","0.09857866918149481"
"GSP","0.11542561956398883"
"GSO","0.12685287981962293"
"MSP","0.429486272884957"
"ITO","0.10706035944941614"
"HOB","0.09692033691521615"
"PIB","0.09677890612084891"
"HIB","0.09700988328773161"
"LGA","0.33010240833161286"
"JFK","0.27500703100346024"
"MSY","0.2018806722692373"
"EWR","0.3743945863075545"
"ORF","0.13318606032745492"
"OME","0.10022671557070606"
"PHF","0.10089457649977937"
"IAG","0.09663353171228922"
"SWF","0.10103724391352306"
"OAK","0.22544466726717619"
"OTH","0.09727388764704745"
"OMA","0.13912312455438738"
"ONT","0.16375927805740476"
"MCO","0.3382183358489852"
"BNA","0.2200340543166646"
"HVN","0.09678144501045592"
"EWN","0.09735822083913569"
"MRY","0.1037772639412098"
"MYR","0.10442538422017267"
"CWA","0.09826226139058343"
"MKG","0.0970438961608293"
"ACK","0.09693669507968847"
"APF","0.09662311538821851"
"MTJ","0.09883203299843658"
"MOB","0.10814096981895402"
"MGM","0.1027161175636162"
"MWH","0.09663421876554176"
"MLU","0.10296857268145432"
"MLI","0.1041188535443657"
"MFE","0.10444926637347723"
"MOD","0.09775612672923709"
"PNS","0.11290039328103488"
"PSG","0.09932010661596959"
"PSP","0.11396377325937536"
"PIA","0.10165271019506579"
"PSC","0.10208024640720847"
"PLN","0.09682067524869283"
"PHL","0.3239448128106585"
"ECP","0.10047812527407339"
"PFN","0.09831958844753529"
"OXR","0.09722526064678409"
"PAH","0.09713509945447704"
"PPG","0.09662914360510282"
"MOT","0.09961546490892588"
"CNY","0.09661963685199493"
"MSO","0.10288526502660099"
"MIB","0.09659029947803181"
"MAF","0.11467819465138245"
"MKE","0.15491578878652604"
"MIA","0.25925987520544325"
"PHX","0.5106399777272728"
"PIT","0.27553595750528037"
"PDX","0.2233164190093466"
"PWM","0.11219940029132827"
"PSE","0.09738372519964152"
"AZA","0.09657619798986346"
"PIH","0.09816182642909967"
"PBG","0.09663353171228922"
"SMF","0.19170331703890864"
"ROA","0.10298665434277957"
"RIC","0.132419816915242"
"RDU","0.1845091093360604"
"RNO","0.1480992377632923"
"RHI","0.09722810024908878"
"SAN","0.2633968042641567"
"SAT","0.1836357002098411"
"SJT","0.09867666510324642"
"SLC","0.3700807662228761"
"SFO","0.44059541286620335"
"MBS","0.10286208715036628"
"ROC","0.1253188962295081"
"RKS","0.09841747644365101"
"ROW","0.09756494398389262"
"RST","0.10151277443446566"
"RAP","0.10285543799629829"
"RDD","0.0982724388809964"
"FSD","0.10663987268490248"
"SEA","0.3481691914884934"
"GEG","0.12592770280881724"
"SBN","0.10427935116010735"
"SIT","0.10115569387764221"
"SGU","0.09944275515911459"
"SGF","0.10680686821774961"
"SPI","0.0982317843375069"
"UST","0.0966333780727232"
"STC","0.09662436101005"
"STL","0.34980628958445015"
"SUX","0.09740916746536064"
"SHV","0.10927793819124719"
"TLH","0.10482658577972638"
"SYR","0.1191726045299309"
"SUN","0.09885603816426804"
"SCE","0.09747650865453968"
"KSM","0.09660585375399604"
"PIE","0.09717095034447214"
"TPA","0.24295963983293484"
"TUS","0.13733216605010973"
"TTN","0.09759090007658115"
"TVC","0.10094242426231397"
"TOL","0.1006487076705414"
"TXK","0.09845289447485182"
"TEX","0.09663976189522419"
"ACT","0.09899284213102165"
"VIS","0.09690065359326376"
"VEL","0.09663328454736748"
"VCT","0.09678675571966834"
"VPS","0.10507030973105834"
"VLD","0.09789610248180484"
"DUT","0.09760638141913776"
"TYR","0.09979701511523323"
"TWF","0.09834607031662987"
"DCA","0.2750360554495535"
"IAD","0.24430257216312504"
"PBI","0.14888986776863825"
"ALO","0.09696035552107783"
"ART","0.09672772474285068"
"ILM","0.10276852979749986"
"ILG","0.09668624045216706"
"ORH","0.09695076689055715"
"ISN","0.09765958579721755"
"SPS","0.09830054696087352"
"HPN","0.112572451495348"
"WRG","0.09950467671225642"
"YUM","0.09960304527319473"
"YAK","0.09955087074727828"
"WYS","0.09689259075944705"
"AVP","0.1008128997303936"
"SBA","0.11037149810515985"
"SAV","0.11389047233878714"
"SRQ","0.10824578863575986"
"CIU","0.09678871156258889"
"SAF","0.09776329706923641"
"SMX","0.09798139028054127"
"SNA","0.18720365419470447"
"SJC","0.21045236638489515"
"SBP","0.10237373862876278"
"SJU","0.14797591587743877"
"DAL","0.21613512716002747"
"PVD","0.14039675432197704"
"MEI","0.09758279988894578"
"BMI","0.10043497662934632"
"MDT","0.1119216796310234"
"HRL","0.10793356097649144"
"GUC","0.09736294235260473"
"GPT","0.10344449448448542"
"CMX","0.09713832583506485"
"GST","0.0966219116652648"
"GUM","0.09704798959303852"
"GRR","0.12056134815418551"
"GRB","0.10561470236560364"
"GTF","0.10266573147713359"
"GJT","0.10163410617723191"
"GFK","0.0992062370450244"
"GNV","0.10039398929000434"
"GCC","0.09818552670047448"
"FAT","0.11174380171376802"
"FWA","0.10424287191116502"
"FSM","0.09957780879822506"
"GRI","0.09692355764869393"
"FLL","0.22409927401239468"
"FAR","0.10457023394973654"
"FAI","0.11134738932251037"
"EVV","0.10192016483994085"
"XNA","0.1116983860558429"
"FAY","0.10103704639332146"
"FLG","0.09834812328367565"
"DLH","0.10044636579013254"
"EUG","0.1043735928088442"
"ELM","0.09963349781355163"
"ERI","0.09850814112686593"
"ESC","0.09675664221293255"
"EKO","0.0984384008758007"
"ELP","0.14698281155418005"
"DTW","0.4486125457173083"
"DRO","0.0994129991671769"
"EAU","0.0971487956693391"
"IPL","0.09716148263177099"
"EGE","0.09969044503129437"
"DBQ","0.09765799833805702"
"DHN","0.09830591706669554"
"DVL","0.09679398366743433"
"DIK","0.09697643477976713"
"DLG","0.09716186256965263"
"STX","0.0986901546563726"
"CIC","0.09776841987570753"
"CVG","0.26412065947225866"
"CLE","0.22761527056794478"
"CHA","0.10362479012670872"
