"Airport","Article_Rank_Score"
"ABQ","0.04140319224995923"
"ABY","-0.04272926936423371"
"ALB","-0.01460399725331168"
"ABI","-0.040424511961080815"
"CAK","-0.033004206168901144"
"ATL","0.955774759636093"
"BHM","0.0037094073995924447"
"BIL","-0.03521847779921503"
"BGM","-0.042259798088049735"
"RDM","-0.040417162181523573"
"BET","-0.04054464520181175"
"BTR","-0.027356357872503376"
"BPT","-0.042893712873735376"
"BLI","-0.04338217765432877"
"BJI","-0.043801198535592806"
"BRW","-0.04059287993859554"
"BGR","-0.04020243079016433"
"BWI","0.20028363350419648"
"AUS","0.06344216432833402"
"MDW","0.13956696848532457"
"ORD","0.8216333671705256"
"AMA","-0.028359786508691247"
"ACV","-0.03988714263247264"
"AGS","-0.03826272808964834"
"ACY","-0.04274135806394152"
"ANC","0.02017398788985333"
"ATW","-0.04003589306849626"
"ANI","-0.04419992583802528"
"AVL","-0.036722226813375655"
"APN","-0.04386864863461623"
"ABE","-0.03248538811195034"
"BFL","-0.03948258661892301"
"ASE","-0.040294609296647875"
"HTS","-0.043729145774055345"
"CLT","0.30470622848891044"
"CRW","-0.03737264564729977"
"CPR","-0.041279758727703335"
"CDC","-0.04327366254640828"
"CHS","-0.01850630179967921"
"CID","-0.029981560932715975"
"CMI","-0.04095855056504677"
"CLD","-0.04197558108131541"
"BTM","-0.04300779151329736"
"BTV","-0.033603573602780386"
"BUR","0.021207569743652795"
"BQN","-0.042560394281038194"
"ADK","-0.04409742883186429"
"ABR","-0.04379402202757044"
"AEX","-0.03967625303000505"
"TRI","-0.03890443555305303"
"BRO","-0.040965906892627434"
"BUF","0.005142193279302343"
"BQK","-0.04278597156745324"
"BZN","-0.036804885835969914"
"BRD","-0.043774348855392636"
"BKG","-0.04323095886072838"
"BOS","0.22651557988332638"
"BIS","-0.03869007126351751"
"BOI","-0.012322726447225478"
"DFW","0.7302724825629437"
"TYS","-0.021608723502302297"
"EYW","-0.0406298876024183"
"ILE","-0.04227402409443278"
"MCI","0.08349276122514489"
"LMT","-0.04340206183644744"
"GRK","-0.040589352615712955"
"AKN","-0.043389474218226504"
"KTN","-0.03615435069821132"
"ADQ","-0.04183978048751108"
"LRD","-0.04072303733246498"
"LAN","-0.03756623733355762"
"LAR","-0.04390956165982211"
"LCH","-0.04213595392651153"
"LNY","-0.04420562954019715"
"LFT","-0.03690419313058384"
"LSE","-0.04093659909501425"
"KOA","-0.024826502721812384"
"OTZ","-0.0402889454454921"
"LAS","0.31034573658507875"
"LIH","-0.025137793595510216"
"LEX","-0.029559173787374375"
"LWS","-0.04346853761581918"
"LWB","-0.043975414700833305"
"LBE","-0.043877633830555283"
"LIT","-0.00681183498184745"
"LNK","-0.03820867268386783"
"GGG","-0.04296882482085725"
"LGB","-0.02437928242216393"
"LAX","0.500891333585726"
"FCA","-0.039374351637501775"
"IAH","0.3818966433455599"
"HOU","0.10850076937633457"
"OGG","-0.006610970011793576"
"AZO","-0.03901904865435755"
"JNU","-0.028743992235992378"
"JAX","0.015977780781558912"
"JMS","-0.04388777567491227"
"JLN","-0.043827027999301084"
"OAJ","-0.04260865857945686"
"HSV","-0.026882486194715435"
"ISP","-0.02674672197166261"
"JAN","-0.02157639870114723"
"JAC","-0.038410746556593246"
"IND","0.039676284070484624"
"ITH","-0.04219500854456281"
"IYK","-0.04354451802520134"
"IMT","-0.04373518481925498"
"INL","-0.04377703271839598"
"IDA","-0.03949193971523303"
"HYA","-0.044224452300293066"
"EFD","-0.04387987932246519"
"SDF","0.004858705599341083"
"MHT","-0.016600411031507882"
"MSN","-0.0265002805672709"
"MMH","-0.044065256385437644"
"LBB","-0.02472111094928991"
"LYH","-0.04371447014517331"
"MCN","-0.04377826012379527"
"MFR","-0.03792431023920395"
"MQT","-0.04308005473547842"
"MVY","-0.04413188579539748"
"MAZ","-0.044211532816789405"
"RSW","0.006494898210155268"
"MLB","-0.03944235263699207"
"HNL","0.0620520208715143"
"MKK","-0.044192125814289655"
"BDL","0.02265075951404086"
"MEM","0.07761140286992167"
"HLN","-0.04055430479301166"
"HDN","-0.04199500983413215"
"GSP","-0.02334737279169142"
"GSO","-0.010698709573807166"
"MSP","0.3242816603255908"
"ITO","-0.03260675391649442"
"HOB","-0.043830592980947054"
"PIB","-0.04398714060886224"
"HIB","-0.04373147544244757"
"LGA","0.2142751492366981"
"JFK","0.15329090129831177"
"MSY","0.07234843011206771"
"EWR","0.2633014976239292"
"ORF","-0.0036886069289373893"
"OME","-0.04017081197057991"
"PHF","-0.03943156671150159"
"IAG","-0.044148053364259046"
"SWF","-0.03927365028812085"
"OAK","0.09843106323052547"
"OTH","-0.0434392529714145"
"OMA","0.00288304053768892"
"ONT","0.030152429846480387"
"MCO","0.223258547844198"
"BNA","0.09244213679650976"
"HVN","-0.043984330349984065"
"EWN","-0.0433459058242462"
"MRY","-0.036240763159871556"
"MYR","-0.03552336853072231"
"CWA","-0.042345236878692516"
"MKG","-0.043693827102665235"
"ACK","-0.04381248637370747"
"APF","-0.04415958303735579"
"MTJ","-0.04171456522007744"
"MOB","-0.0314106424839838"
"MGM","-0.037415330191233394"
"MWH","-0.04414729287530459"
"MLU","-0.03713589140260589"
