"Airport","Article_Rank_Score"
"ABQ","0.0856284326138662"
"ABY","0.0014959709996732508"
"ALB","0.02962124311059528"
"ABI","0.0038007284028261468"
"CAK","0.011221034195005815"
"ATL","1.0"
"BHM","0.047934647763499406"
"BIL","0.009006762564691925"
"BGM","0.0019654422758572285"
"RDM","0.0038080781823833882"
"BET","0.00368059516209521"
"BTR","0.016868882491403586"
"BPT","0.0013315274901715866"
"BLI","8.430627095781881E-4"
"BJI","4.240418283141531E-4"
"BRW","0.0036323604253114205"
"BGR","0.004022809573742632"
"BWI","0.24450887386810347"
"AUS","0.10766740469224098"
"MDW","0.18379220884923153"
"ORD","0.8658586075344326"
"AMA","0.015865453855215712"
"ACV","0.004338097731434321"
"AGS","0.005962512274258623"
"ACY","0.001483882299965441"
"ANC","0.0643992282537603"
"ATW","0.004189347295410699"
"ANI","2.531452588168047E-5"
"AVL","0.0075030135505313065"
"APN","3.565917292907331E-4"
"ABE","0.011739852251956617"
"BFL","0.004742653744983951"
"ASE","0.003930631067259084"
"HTS","4.960945898516144E-4"
"CLT","0.3489314688528174"
"CRW","0.006852594716607189"
"CPR","0.0029454816362036234"
"CDC","9.515778174986831E-4"
"CHS","0.025718938564227748"
"CID","0.014243679431190986"
"CMI","0.0032666897988601947"
"CLD","0.002249659282591551"
"BTM","0.001217448850609604"
"BTV","0.010621666761126577"
"BUR","0.06543281010755976"
"BQN","0.0016648460828687685"
"ADK","1.2781153204267527E-4"
"ABR","4.312183363365176E-4"
"AEX","0.004548987333901912"
"TRI","0.005320804810853935"
"BRO","0.003259333471279529"
"BUF","0.04936743364320931"
"BQK","0.0014392687964537212"
"BZN","0.007420354527937047"
"BRD","4.508915085143283E-4"
"BKG","9.942815031785816E-4"
"BOS","0.27074082024723334"
"BIS","0.005535169100389446"
"BOI","0.03190251391668148"
"DFW","0.7744977229268507"
"TYS","0.022616516861604666"
"EYW","0.0035953527614886616"
"ILE","0.0019512162694741784"
"MCI","0.12771800158905186"
"LMT","8.231785274595267E-4"
"GRK","0.0036358877481940067"
"AKN","8.357661456804554E-4"
"KTN","0.008070889665695647"
"ADQ","0.00238545987639588"
"LRD","0.0035022030314419772"
"LAN","0.0066590030303493395"
"LAR","3.156787040848465E-4"
"LCH","0.002089286437395432"
"LNY","1.9610823709815095E-5"
"LFT","0.007321047233323124"
"LSE","0.0032886412688927077"
"KOA","0.019398737642094578"
"OTZ","0.003936294918414859"
"LAS","0.35457097694898565"
"LIH","0.019087446768396743"
"LEX","0.014666066576532586"
"LWS","7.567027480877801E-4"
"LWB","2.498256630736578E-4"
"LBE","3.476065333516775E-4"
"LIT","0.03741340538205951"
"LNK","0.00601656768003913"
"GGG","0.0012564155430497086"
"LGB","0.01984595794174303"
"LAX","0.5451165739496329"
"FCA","0.004850888726405183"
"IAH","0.4261218837094668"
"HOU","0.15272600974024153"
"OGG","0.037614270352113385"
"AZO","0.005206191709549415"
"JNU","0.015481248127914583"
"JAX","0.06020302114546587"
"JMS","3.3746468899469576E-4"
"JLN","3.9821236460587625E-4"
"OAJ","0.0016165817844501005"
"HSV","0.017342754169191527"
"ISP","0.01747851839224435"
"JAN","0.022648841662759732"
"JAC","0.005814493807313718"
"IND","0.08390152443439158"
"ITH","0.002030231819344149"
"IYK","6.807223387056222E-4"
"IMT","4.90055544651981E-4"
"INL","4.482076455109811E-4"
"IDA","0.004733300648673932"
"HYA","7.88063613895372E-7"
"EFD","3.453610414417743E-4"
"SDF","0.04908394596324805"
