"Airport","Article_Rank_Score"
"ABQ","0.45033947471948593"
"ABY","0.2535315753792619"
"ALB","0.3193239653357798"
"ABI","0.25892300758391323"
"CAK","0.2762810495025942"
"ATL","2.589294450492298"
"BHM","0.36216382322598945"
"BIL","0.27110128725898935"
"BGM","0.2546297918571066"
"RDM","0.2589402006464663"
"BET","0.2586419844176399"
"BTR","0.28949284834551303"
"BPT","0.25314689886981223"
"BLI","0.2520042516023269"
"BJI","0.25102405183354526"
"BRW","0.2585291507142214"
"BGR","0.25944251370429183"
"BWI","0.8220025081023022"
"AUS","0.5018944121971631"
"MDW","0.6799702999861856"
"ORD","2.275502542360761"
"AMA","0.28714556552224846"
"ACV","0.26018005541900713"
"AGS","0.2639799871896595"
"ACY","0.25350329673925065"
"ANC","0.40067879637233134"
"ATW","0.2598320891254022"
"ANI","0.250091324069544"
"AVL","0.2675836238157274"
"APN","0.25086626835681824"
"ABE","0.2774947010464715"
"BFL","0.2611264180674373"
"ASE","0.2592268839951727"
"HTS","0.2511926021453723"
"CLT","1.0662743523856464"
"CRW","0.2660621235298695"
"CPR","0.25692236102814786"
"CDC","0.2522580969080122"
"CHS","0.3101954512566572"
"CID","0.28335180968208695"
"CMI","0.25767375118755226"
"CLD","0.25529464999841067"
"BTM","0.2528800390040598"
"BTV","0.2748789718344565"
"BUR","0.4030966154820973"
"BQN","0.2539266185021771"
"ADK","0.2503310914564025"
"ABR","0.2510408395685215"
"AEX","0.26067338152474584"
"TRI","0.26247886508482005"
"BRO","0.2576565428074546"
"BUF","0.36551548528103706"
"BQK","0.2533989340504634"
"BZN","0.2673902626768023"
"BRD","0.251086860279379"
"BKG","0.2523579920318621"
"BOS","0.883365912470005"
"BIS","0.262980319395173"
"BOI","0.3246604562283304"
"DFW","2.0617854653074787"
"TYS","0.3029380729933096"
"EYW","0.258442580079811"
"ILE","0.25459651349607293"
"MCI","0.5487980184873809"
"LMT","0.25195773728386067"
"GRK","0.25853740204781483"
"AKN","0.25198718302516226"
"KTN","0.26891203502784067"
"ADQ","0.25561232321375466"
"LRD","0.2582246784239833"
"LAN","0.2656092617881454"
"LAR","0.25077056205758563"
"LCH","0.25491949584068496"
"LNY","0.25007798161383343"
"LFT","0.2671579568620533"
"LSE","0.25772510143478905"
"KOA","0.2954108432346409"
"OTZ","0.25924013322890194"
"LAS","1.0794666413122291"
"LIH","0.29468265221584966"
"LEX","0.28433988402566435"
"LWS","0.2518022329964056"
"LWB","0.2506165145185274"
"LBE","0.2508452496263069"
"LIT","0.3375518771137268"
"LNK","0.2641064369648774"
"GGG","0.25297119232034504"
"LGB","0.2964570088409646"
"LAX","1.5252027811412814"
"FCA","0.2613796080837514"
"IAH","1.2468429831574672"
"HOU","0.6072983102473993"
"OGG","0.3380217529743503"
"AZO","0.26221075497283913"
"JNU","0.2862468075321237"
"JAX","0.3908627670973645"
"JMS","0.25082152519170653"
"JLN","0.2509636299417335"
"OAJ","0.2538137156463393"
"HSV","0.2906013585171272"
"ISP","0.2909189466517418"
"JAN","0.30301368918342053"
"JAC","0.26363373316375716"
"IND","0.44629978344414456"
"ITH","0.25478135159645365"
"IYK","0.25162449488587596"
"IMT","0.25117847523434467"
"INL","0.2510805820197195"
"IDA","0.2611045387214419"
"HYA","0.2500339502399358"
"EFD","0.2508399968316389"
"SDF","0.3648523332263895"
"MHT","0.3146538297619219"
"MSN","0.2914954377489737"
"MMH","0.2504063512488343"
"LBB","0.2956573822394427"
"LYH","0.25122693229138676"
"MCN","0.25107771079648844"
"MFR","0.26477163532365344"
"MQT","0.25271099636957434"
"MVY","0.25025048757912965"
"MAZ","0.2500641723011965"
"RSW","0.3686798169879726"
"MLB","0.26122053590630706"
"HNL","0.49864250195622833"
"MKK","0.250109570371349"
"BDL","0.40647261496683673"
"MEM","0.5350399783569671"
"HLN","0.25861938809969004"
"HDN","0.25524920104856064"
"GSP","0.2988709161816715"
"GSO","0.32845945774591606"
"MSP","1.1120664229436399"
"ITO","0.27721079459008385"
"HOB","0.25095529051441295"
"PIB","0.25058908454342915"
"HIB","0.251187152439829"
"LGA","0.8547323339871876"
"JFK","0.7120741792236229"
"MSY","0.5227285043683905"
"EWR","0.9694178246205106"
"ORF","0.3448579268888114"
"OME","0.25951647841829917"
"PHF","0.26124576701564933"
"IAG","0.250212667394102"
"SWF","0.261615174958322"
"OAK","0.5837426258479819"
"OTH","0.25187073746231126"
"OMA","0.360230734343824"
"ONT","0.4240209898906633"
"MCO","0.8757468600685175"
"BNA","0.5697329557614604"
"HVN","0.250595658476199"
"EWN","0.2520891009285776"
"MRY","0.268709893610249"
"MYR","0.27038806785181907"
"CWA","0.25442992811146126"
"MKG","0.2512752217833861"
"ACK","0.2509976466189014"
"APF","0.25018569646399114"
"MTJ","0.2559052345737235"
"MOB","0.28000881302307273"
"MGM","0.2659622731835859"
"MWH","0.25021444637727597"
"MLU","0.2666159538192025"
"MLI","0.26959436967404643"
"MFE","0.2704499057788364"
"MOD","0.2531193964416354"
"PNS","0.29233236178098154"
"PSG","0.2571690008830334"
"PSP","0.29508576565766315"
"PIA","0.2632087983855857"
"PSC","0.26431581552707123"
"PLN","0.2506972371143573"
"PHL","0.8387885060764043"
"ECP","0.2601674521680281"
"PFN","0.2545783647418898"
"OXR","0.25174482784038527"
"PAH","0.25151137396549483"
"PPG","0.25020130529251605"
"MOT","0.25793377047189203"
"CNY","0.2501766895094516"
"MSO","0.26640024577080723"
"MIB","0.25010072640985687"
"MAF","0.29693561300330007"
"MKE","0.4011225921985888"
"MIA","0.6713001561047799"
"PHX","1.322197260528738"
"PIT","0.7134437256795041"
"PDX","0.5782319644447138"
"PWM","0.2905172845229002"
"PSE","0.2521551392276987"
"AZA","0.25006421350479885"
"PIH","0.25416987242305594"
"PBG","0.250212667394102"
"SMF","0.4963763349498117"
"ROA","0.26666277256452764"
"RIC","0.3428738970738422"
"RDU","0.47774841286913783"
"RNO","0.38347253446263213"
"RHI","0.25175218040687436"
"SAN","0.6820118835585869"
"SAT","0.4754868994656089"
"SJT","0.25550294134492296"
"SLC","0.9582480742148306"
"SFO","1.1408312574468231"
"MBS","0.26634023142449853"
"ROC","0.32448752254888547"
"RKS","0.254831825587002"
"ROW","0.2526243680200851"
"RST","0.26284646349723834"
"RAP","0.2663230148067698"
"RDD","0.2544562806309075"
"FSD","0.2761220305442232"
"SEA","0.9015125553535461"
"GEG","0.32606390204611385"
"SBN","0.27000994525980354"
"SIT","0.2619218767930767"
"SGU","0.25748657407515974"
"SGF","0.27655443115068123"
"SPI","0.25435101404706284"
"UST","0.25021226957602627"
"STC","0.2501889217456868"
"STL","0.9057514843683184"
"SUX","0.2522210167451332"
"SHV","0.2829527589198367"
"TLH","0.27142689682350035"
"SYR","0.30857296356006336"
"SUN","0.25596739101639404"
"SCE","0.252395382912564"
"KSM","0.25014100101029246"
"PIE","0.25160420247600435"
"TPA","0.6290940471130256"
"TUS","0.35559341542763584"
"TTN","0.25269157598683994"
"TVC","0.26136965896164865"
"TOL","0.2606091402205544"
"TXK","0.25492353329863765"
"TEX","0.25022879917220103"
"ACT","0.2563216167683145"
"VIS","0.2509043245981144"
"VEL","0.25021202741134174"
"VCT","0.2506094094660909"
"VPS","0.27205796989813624"
"VLD","0.25348183488096254"
"DUT","0.2527316617412079"
"TYR","0.25840385741356936"
"TWF","0.25464693409857503"
"DCA","0.7121493320608208"
"IAD","0.6325712943429738"
"PBI","0.38551970834786703"
"ALO","0.25105891046848705"
"ART","0.2504565608854098"
"ILM","0.26609798388991873"
"ILG","0.2503491458417601"
"ORH","0.25103408268069205"
"ISN","0.25286942354211184"
"SPS","0.25452906072614734"
"HPN","0.29148322393521797"
"WRG","0.25764690720907574"
"YUM","0.25790161237801623"
"YAK","0.2577665171676037"
"WYS","0.25088344754725755"
"AVP","0.26103428180994465"
"SBA","0.2857843075362116"
"SAV","0.2948959679907681"
"SRQ","0.28028021980373524"
"CIU","0.2506144737193111"
"SAF","0.25313796256320376"
"SMX","0.2537026701049255"
"SNA","0.4847253829182275"
"SJC","0.5449231443733809"
"SBP","0.26507575330760447"
"SJU","0.38315321778796735"
"DAL","0.5596374853119063"
"PVD","0.36352853683302566"
"MEI","0.2526706022159477"
"BMI","0.26005572762169005"
"MDT","0.28979818395838575"
"HRL","0.27947177045830135"
"GUC","0.25210132631720095"
"GPT","0.2678482555026592"
"CMX","0.251519728014846"
"GST","0.2501825796708272"
"GUM","0.2512858208846889"
"GRR","0.3121688297195024"
"GRB","0.27346756272565326"
"GTF","0.26583180876947443"
"GJT","0.26316062710545157"
"GFK","0.2568741590349051"
"GNV","0.25994959933139145"
"GCC","0.2542312394042019"
