"Airport","Article_Rank_Score"
"ABQ","0.3614976308334076"
"ABY","-0.3730758137961741"
"ALB","-0.12750974311105112"
"ABI","-0.35295262291138557"
"CAK","-0.2881647933223518"
"ATL","8.345016228045976"
"BHM","0.03238740575009407"
"BIL","-0.30749793902637385"
"BGM","-0.3689767879756467"
"RDM","-0.3528884508571862"
"BET","-0.35400152468800195"
"BTR","-0.23885256236855856"
"BPT","-0.3745115953352375"
"BLI","-0.37877645636005974"
"BJI","-0.38243499203364234"
"BRW","-0.3544226695834473"
"BGR","-0.3510135980976866"
"BWI","1.7487071665722784"
"AUS","0.5539232811126793"
"MDW","1.2185806385519797"
"ORD","7.173807127060662"
"AMA","-0.24761365191214735"
"ACV","-0.34826076876638096"
"AGS","-0.33407775589198363"
"ACY","-0.37318136209007974"
"ANC","0.17614218687813898"
"ATW","-0.3495595316705391"
"ANI","-0.38591634135346625"
"AVL","-0.32062740263645745"
"APN","-0.3830239092081742"
"ABE","-0.28363491317955936"
"BFL","-0.34472852807453563"
"ASE","-0.3518184227958981"
"HTS","-0.3818058883057572"
"CLT","2.6604368821110054"
"CRW","-0.32630630937614796"
"CPR","-0.360419913791892"
"CDC","-0.3778289942854916"
"CHS","-0.16158136347756252"
"CID","-0.261773613503798"
"CMI","-0.3576153959879582"
"CLD","-0.36649524563570496"
"BTM","-0.3755076334590948"
"BTV","-0.29339796244704064"
"BUR","0.18516654879606032"
"BQN","-0.3716013395065248"
"ADK","-0.38502142424970714"
"ABR","-0.3823723328398275"
"AEX","-0.34641945925577167"
"TRI","-0.3396806023176512"
"BRO","-0.3576796252139558"
"BUF","0.04489727933374747"
"BQK","-0.3735708894416255"
"BZN","-0.321349111258692"
"BRD","-0.38220056335185376"
"BKG","-0.37745614184677284"
"BOS","1.9777423194888697"
"BIS","-0.3378089547805594"
"BOI","-0.10759161731266194"
"DFW","6.376121211030414"
"TYS","-0.18866908387780523"
"EYW","-0.35474578918045424"
"ILE","-0.3691009974224122"
"MCI","0.7289881222783974"
"LMT","-0.37895006820823707"
"GRK","-0.35439187198558236"
"AKN","-0.3788401637801623"
"KTN","-0.31566918905235897"
