"Airport","Betweenness_Score"
"ABQ","10.903411421227993"
"ABY","0.0"
"ALB","0.042387302652110485"
"ABI","0.0"
"CAK","0.001121754948734418"
"ATL","13003.796018502928"
"BHM","0.7975844260823095"
"BIL","0.008405071175636887"
"BGM","0.0"
"RDM","0.0"
"BET","0.0"
"BTR","0.005417234956954258"
"BPT","0.0"
"BLI","0.0"
"BJI","0.0"
"BRW","0.0"
"BGR","0.014274513144357534"
"BWI","117.72597086075164"
"AUS","25.187080554531995"
"MDW","170.80397896289145"
"ORD","11047.914755610182"
"AMA","0.1889563719623596"
"ACV","0.07015686654095274"
"AGS","0.0"
"ACY","0.001507045354313508"
"ANC","4501.590935607034"
"ATW","0.0"
"ANI","0.0"
"AVL","1.1136998646421178E-5"
"APN","0.009719217363523752"
"ABE","0.005696003203638954"
"BFL","0.0"
"ASE","0.0"
"HTS","0.0"
"CLT","413.8582065154813"
"CRW","9.973948941056393E-4"
"CPR","0.0"
"CDC","0.0"
"CHS","0.02439697309250099"
"CID","0.0"
"CMI","0.0"
"CLD","0.0"
"BTM","0.0"
"BTV","0.007244434643453817"
"BUR","0.4496727091847461"
"BQN","5.215956968839452E-4"
"ADK","0.0"
"ABR","0.0"
"AEX","0.0314812332941444"
"TRI","0.0"
"BRO","0.0"
"BUF","0.13163552708758947"
"BQK","0.0"
"BZN","0.01186768240020803"
"BRD","0.0"
"BKG","3.0866671039238156E-4"
"BOS","396.92275175650417"
"BIS","0.0"
"BOI","0.11171686496874596"
"DFW","9549.780932576952"
"TYS","8.297058112921764E-5"
"EYW","0.0"
"ILE","0.0"
"MCI","3.460104117887252"
"LMT","0.0"
"GRK","0.0"
"AKN","0.04310344827586207"
"KTN","347.2033204699609"
"ADQ","0.0"
"LRD","0.0"
"LAN","0.0013025945939208095"
"LAR","0.0"
"LCH","0.0"
"LNY","0.0021260294081814385"
"LFT","0.0983280006006164"
"LSE","0.0"
"KOA","0.05513282874912053"
"OTZ","0.0"
"LAS","528.7542488242304"
"LIH","6.873860620114639E-4"
"LEX","8.524714095972174E-4"
"LWS","0.0"
"LWB","0.0"
"LBE","2.890722544296744E-4"
"LIT","0.40126298007550065"
"LNK","0.0"
"GGG","0.0"
"LGB","0.10060586852730152"
"LAX","3571.8531059975685"
"FCA","0.012339746183980593"
"IAH","3366.5873343715452"
"HOU","79.65344867388498"
"OGG","352.559143240518"
"AZO","4.303041606068227E-4"
"JNU","1043.3943878310897"
"JAX","0.5085179252363151"
"JMS","0.0"
"JLN","0.0"
"OAJ","0.0"
"HSV","0.08251871247685559"
"ISP","0.02118080867465043"
"JAN","0.1464104513274499"
"JAC","0.04773844104308849"
"IND","45.063502185047575"
"ITH","0.0"
"IYK","0.0"
"IMT","0.0"
"INL","0.047516198704103674"
"IDA","0.0"
"HYA","0.0"
"EFD","0.0"
"SDF","0.15155107939390314"
"MHT","0.0455955474681691"
"MSN","0.3037327868383712"
"MMH","0.0"
"LBB","0.19188158103190645"
"LYH","0.0"
"MCN","0.0"
"MFR","0.0"
"MQT","0.001442210352514301"
"MVY","0.0"
"MAZ","0.0"
"RSW","5.085026074954642"
"MLB","1.0166575509322617E-6"
"HNL","1632.7811842638878"
"MKK","7.063809748057452E-4"
"BDL","0.3455330268978628"
"MEM","54.46371178728794"
"HLN","0.0"
"HDN","0.0"
