"Airport","Page_Rank_Score"
"ABQ","0.3972077096063329"
"ABY","-1.2868334268686952"
"ALB","-0.40529003092688"
"ABI","-1.1571468855175564"
"CAK","-0.860256749384623"
"ATL","2.904191830208153"
"BHM","-0.07814609300232474"
"BIL","-0.8300375022088953"
"BGM","-1.2798258248239576"
"RDM","-1.1625302012658438"
"BET","-0.8897759129622289"
"BTR","-0.6469585620113737"
"BPT","-1.3011361615873152"
"BLI","-1.3298170954736044"
"BJI","-1.3526857680082678"
"BRW","-0.8100060979719985"
"BGR","-1.1841979908116922"
"BWI","1.2487505361954256"
"AUS","0.5757752362631218"
"MDW","1.044760942705945"
"ORD","2.731916172068177"
"AMA","-0.7627613772371761"
"ACV","-0.9685727889290775"
"AGS","-1.04409186904946"
"ACY","-1.2978544909154228"
"ANC","1.3814824976092066"
"ATW","-1.138420987601003"
"ANI","-0.9587146275172208"
"AVL","-0.9998488444206474"
"APN","-1.3254793517916517"
"ABE","-0.8459662210224077"
"BFL","-1.124376341868545"
"ASE","-1.1438805497534896"
"HTS","-1.3552131469517197"
"CLT","1.6636650297898097"
"CRW","-1.0313407757875726"
"CPR","-1.1786233582199124"
"CDC","-1.3060664449868866"
"CHS","-0.45895702279182227"
"CID","-0.7274591150525561"
"CMI","-1.1900303413888182"
"CLD","-1.256045976482982"
"BTM","-1.2862480873276847"
"BTV","-0.917525366212332"
"BUR","0.13130897159618843"
"BQN","-1.296876585758312"
"ADK","-1.3492098934643593"
"ABR","-1.3521441098369755"
"AEX","-1.1001698002142832"
"TRI","-1.0947620397261133"
"BRO","-1.1941895156796942"
"BUF","-0.04716763082385049"
"BQK","-1.290395620615407"
"BZN","-0.9195723871559739"
"BRD","-1.1574508308998868"
"BKG","-1.3293279067908947"
"BOS","1.4299853661971809"
"BIS","-1.0344397458013115"
"BOI","-0.25141061649783814"
"DFW","2.642255911894317"
"TYS","-0.500908325424761"
"EYW","-1.1875646964910969"
"ILE","-1.262609574191021"
"MCI","0.7485435435382188"
"LMT","-1.3368669194027014"
"GRK","-1.166767062925344"
"AKN","-0.9680795149987345"
"KTN","-0.32636012367774253"
"ADQ","-1.0373469020673753"
"LRD","-1.1774277920463572"
"LAN","-1.015409743575122"
"LAR","-1.362785834907361"
"LCH","-1.25841227783653"
"LNY","-1.1647529397325544"
"LFT","-0.9483514902388019"
"LSE","-1.1689158733530596"
"KOA","-0.4801309631098072"
"OTZ","-0.7353896921647769"
"LAS","1.6818827249249781"
"LIH","-0.4843231902417137"
"LEX","-0.7323428820591985"
"LWS","-1.3225269380633495"
"LWB","-1.3687432643646311"
"LBE","-1.3617227129055043"
"LIT","-0.2419531555861813"
"LNK","-1.051611721661118"
"GGG","-1.3038208650420455"
"LGB","-0.588324987029895"
"LAX","2.2277180067838285"
"FCA","-1.0133045119246897"
"IAH","2.033441200134096"
"HOU","0.8138391659617228"
"OGG","0.13214856359176658"
"AZO","-1.0825704089748651"
"JNU","0.31664508899187715"
"JAX","0.10387696050531837"
"JMS","-0.6388444182925256"
"JLN","-1.358793863423992"
"OAJ","-1.280801361446035"
"HSV","-0.6341575332551513"
"ISP","-0.7532577445140691"
"JAN","-0.5220626673414508"
"JAC","-1.0086888992145415"
"IND","0.4307155349302594"
"ITH","-1.1845376945695596"
"IYK","-1.3444982442636544"
"IMT","-1.0804603108545314"
"INL","-1.078318417909343"
"IDA","-1.0544330689190273"
"HYA","-1.3854438555446886"
"EFD","-1.3636992258820875"
"SDF","-0.05264681656592569"
"MHT","-0.48539732048200057"
"MSN","-0.5933228215319152"
"MMH","-1.375745895394805"
"LBB","-0.689315182478632"
"LYH","-1.3506074504344214"
"MCN","-1.354880333318141"
"MFR","-1.0309098643351966"
"MQT","-1.2998663592712547"
"MVY","-1.3801875130428325"
"MAZ","-1.3848069159074454"
"RSW","0.024850206557061296"
"MLB","-1.1076212977863777"
"HNL","1.05465306004946"
"MKK","-1.112934602640935"
"BDL","0.1835099115156179"
"MEM","0.7471408299808737"
"HLN","-1.1009465097096913"
"HDN","-1.2430328898414653"
"GSP","-0.5664597085159432"
"GSO","-0.2991850667900941"
"MSP","2.10757429778733"
"ITO","-0.7282861245296984"
"HOB","-1.3606373996508516"
"PIB","-1.2434453186670555"
"HIB","-1.137420929796675"
"LGA","1.3777003274626982"
"JFK","1.298320733106405"
"MSY","0.6336175359894476"
"EWR","1.5404223606084702"
"ORF","-0.18931349993251714"
"OME","-0.7200725747315293"
"PHF","-1.1143189784523588"
"IAG","-1.3794224848220416"
"SWF","-1.1112082408457722"
"OAK","0.8080837993690518"
"OTH","-1.337681266727947"
"OMA","-0.011514395853090323"
"ONT","0.2735029136670452"
"MCO","1.5075581388559642"
"BNA","0.7681681440147665"
"HVN","-1.3707751345204213"
"EWN","-1.3262709023541492"
"MRY","-0.97838203501205"
"MYR","-0.6281515705499007"
"CWA","-1.2339496210907035"
"MKG","-1.3506227182584545"
"ACK","-1.362460996012359"
"APF","-1.3819628676528872"
"MTJ","-1.2241175022250852"
"MOB","-0.7762543260334881"
"MGM","-1.000583899195631"
"MWH","-1.3799321888228129"
"MLU","-1.0036010544473797"
"MLI","-0.9591135220873563"
"MFE","-0.9389757730535474"
"MOD","-1.3019781537539215"
"PNS","-0.6209551952697671"
"PSG","-0.6220031007219543"
"PSP","-0.5722236465032507"
"PIA","-1.0643072782866478"
"PSC","-0.9987164728079152"
"PLN","-1.3384746669211698"
"PHL","1.3372524135169466"
"ECP","-1.1613779731884744"
"PFN","-1.2639367529608523"
"OXR","-1.3414706319542984"
"PAH","-1.3441542565338342"
"PPG","-1.3793250998618394"
"MOT","-1.1552756709665948"
"CNY","-1.3798597665118968"
"MSO","-0.900804175213746"
"MIB","-1.3829380579341863"
"MAF","-0.668356329836926"
"MKE","0.22023199197819185"
"MIA","1.1576834102386897"
"PHX","1.9687133502959415"
"PIT","1.2478330646519493"
"PDX","0.957974438744803"
"PWM","-0.6807122952850725"
"PSE","-1.334896763773798"
"AZA","-1.3843140707119477"
"PIH","-1.2444944536426716"
"PBG","-1.3794224848220416"
"SMF","0.5952685501795074"
"ROA","-0.985389022065036"
"RIC","-0.1818205445050022"
"RDU","0.5024328613229113"
"RNO","0.13002905812871657"
"RHI","-0.9467967992848513"
"SAN","1.1014336436302088"
"SAT","0.48679891442044254"
"SJT","-1.2391573371421385"
"SLC","2.02032192638774"
"SFO","1.9743590863556149"
"MBS","-1.0063926398479381"
"ROC","-0.3420115323778569"
"RKS","-1.123914043985832"
"ROW","-1.313587089096123"
"RST","-1.052053813502019"
"RAP","-0.9602466560676768"
"RDD","-1.2679110428670672"
"FSD","-0.804263145692668"
"SEA","1.7555615591827547"
"GEG","-0.22608552908254773"
"SBN","-0.9573926706962237"
"SIT","-0.6345148036613149"
"SGU","-1.148614318147475"
