"Airport","Page_Rank_Score"
"ABQ","0.08151370440996493"
"ABY","0.015130763995097486"
"ALB","0.03653509910511875"
"ABI","0.017225943031807796"
"CAK","0.02318039085234954"
"ATL","1.0"
"BHM","0.050674222825457076"
"BIL","0.023891576439092167"
"BGM","0.015237166746455212"
"RDM","0.01713345949878376"
"BET","0.022506125932314106"
"BTR","0.028691614052112537"
"BPT","0.014915892976146289"
"BLI","0.014494167879369267"
"BJI","0.014166466826041809"
"BRW","0.024374983764258482"
"BGR","0.016766208431959525"
"BWI","0.19100774652933764"
"AUS","0.09744992779771736"
"MDW","0.15576125082261613"
"ORD","0.8417471067426952"
"AMA","0.025554209834151125"
"ACV","0.020800783616023343"
"AGS","0.019287777009743996"
"ACY","0.014964922429930142"
"ANC","0.2181201257081172"
"ATW","0.017551553441379934"
"ANI","0.021006855172847064"
"AVL","0.02016028549080884"
"APN","0.014557176423172087"
"ABE","0.02351402914105998"
"BFL","0.01779979796415831"
"ASE","0.017455990747096688"
"HTS","0.014130708003165104"
"CLT","0.2892318103596914"
"CRW","0.019535291942586106"
"CPR","0.016859934886474647"
"CDC","0.014842534384537549"
"CHS","0.03462605474462454"
"CID","0.026472443756558602"
"CMI","0.016668706635252797"
"CLD","0.015603846779561685"
"BTM","0.015139623222124506"
"BTV","0.02189017886450917"
"BUR","0.06248161918010492"
"BQN","0.01497956386254957"
"ADK","0.014215793364226403"
"ABR","0.014174142287106915"
"AEX","0.018235926804645215"
"TRI","0.018334809454953326"
"BRO","0.016599522553214015"
"BUF","0.05226860050126232"
"BQK","0.015076961167152805"
"BZN","0.021845415041785905"
"BRD","0.01722070808157677"
"BKG","0.01450125999681151"
"BOS","0.22896034324862335"
"BIS","0.019474846366534883"
"BOI","0.04261272136450664"
"DFW","0.7695603368515148"
"TYS","0.0332034943984541"
"EYW","0.01670985645629557"
"ILE","0.015501764785654414"
"MCI","0.11582807646978119"
"LMT","0.01439234588310639"
"GRK","0.017061020965522845"
"AKN","0.020811046631342683"
"KTN","0.039535670897774856"
"ADQ","0.01941831216159069"
"LRD","0.016880104108730747"
"LAN","0.01984900153171606"
"LAR","0.014024104707048487"
"LCH","0.01556696702731913"
"LNY","0.01709541859244287"
"LFT","0.02122568401504079"
"LSE","0.01702439942622873"
"KOA","0.03390059228149043"
"OTZ","0.026263332283317942"
"LAS","0.2945492358591356"
"LIH","0.033758770780419216"
"LEX","0.026343473695360563"
"LWS","0.01460021873878519"
"LWB","0.013940805463602282"
"LBE","0.014039021969348779"
"LIT","0.04301764125002687"
"LNK","0.019143279749395323"
"GGG","0.014875901932809002"
"LGB","0.030424203571259068"
"LAX","0.5084065666601022"
"FCA","0.01989083229424323"
"IAH","0.418637189613859"
"HOU","0.12364352347761717"
"OGG","0.0625341002757103"
"AZO","0.018559708841189952"
"JNU","0.07520430959560047"
"JAX","0.06079091839299734"
"JMS","0.028925369010198508"
"JLN","0.014080200424877435"
"OAJ","0.015222309580310444"
"HSV","0.029061257086555728"
"ISP","0.025798225339212548"
"JAN","0.03250847359759933"
"JAC","0.019982852874910598"
"IND","0.0842913275522334"
"ITH","0.016760513855239318"
"IYK","0.01428293123651651"
"IMT","0.018598912995689627"
"INL","0.01863879256986625"
"IDA","0.01908934602822118"
"HYA","0.013709919106509698"
"EFD","0.014011301064636317"
"SDF","0.05198299428990446"
"MHT","0.03372252893156648"
"MSN","0.03027252777792811"
"MMH","0.013843524156756574"
"LBB","0.027501712247930847"
"LYH","0.014195939859558613"
"MCN","0.014135411678120836"
"MFR","0.01954371173757243"
"MQT","0.014934845241862409"
"MVY","0.013782172865900449"
"MAZ","0.013718654279005515"
"RSW","0.056171732803076475"
"MLB","0.018100546858417457"
"HNL","0.15730970551423007"
"MKK","0.018004628183164156"
"BDL","0.06582984851282454"
"MEM","0.11566571675530382"
"HLN","0.018221768286378063"
"HDN","0.01580822792023319"
"GSP","0.03109676331380405"
"GSO","0.040624786367255"
"MSP","0.45085137807715864"
"ITO","0.026450559845037205"
"HOB","0.014054266977282633"
"PIB","0.01580170949564288"
"HIB","0.017569114789094866"
"LGA","0.21729671639892445"
"JFK","0.20071463679756968"
"MSY","0.10325286552898964"
"EWR","0.25569512310222314"
"ORF","0.045342734255015005"
"OME","0.026668707492400745"
"PHF","0.01797972025635739"
"IAG","0.013792720651248971"
"SWF","0.01803573753066385"
"OAK","0.12293395354938691"
"OTH","0.014380630285662638"
"OMA","0.05416576424772454"
"ONT","0.07202882329438039"
"MCO","0.24742848422557404"
"BNA","0.11812360695711756"
"HVN","0.01391250831483454"
"EWN","0.014545658241199053"
