"Airport","Page_Rank_Score"
"ABQ","0.02713385995308992"
"ABY","-0.04017176856860032"
"ALB","-0.018469924410063895"
"ABI","-0.038047467640531255"
"CAK","-0.03201025611364606"
"ATL","0.9583866340378144"
"BHM","-0.0041342742747141215"
"BIL","-0.031289185419697725"
"BGM","-0.04006388687472216"
"RDM","-0.03814123664623042"
"BET","-0.03269389296295544"
"BTR","-0.02642242979765038"
"BPT","-0.04038962618218635"
"BLI","-0.04081721303694988"
"BJI","-0.04114946896330057"
"BRW","-0.030799058985873453"
"BGR","-0.038513592310553034"
"BWI","0.13814981191556552"
"AUS","0.04329158850008439"
"MDW","0.1024134083772155"
"ORD","0.7979341084417451"
"AMA","-0.02960344229117351"
"ACV","-0.03442293864434978"
"AGS","-0.03595697525009034"
"ACY","-0.04033991524467177"
"ANC","0.16563903896609627"
"ATW","-0.03771733141678921"
"ANI","-0.034214002800806505"
"AVL","-0.03507233935807398"
"APN","-0.04075332870738597"
"ABE","-0.03167198042744991"
"BFL","-0.0374656364251506"
"ASE","-0.03781422238247652"
"HTS","-0.04118572481508827"
"CLT","0.2377391387929261"
"CRW","-0.03570601998930603"
"CPR","-0.03841856310740497"
"CDC","-0.04046400441980034"
"CHS","-0.020405503487396746"
"CID","-0.02867244539812641"
"CMI","-0.038612449331172"
"CLD","-0.039692110181186936"
"BTM","-0.04016278620295723"
"BTV","-0.03331840137242955"
"BUR","0.00783723870569464"
"BQN","-0.04032507030380669"
"ADK","-0.04109945681206767"
"ABR","-0.04114168681734632"
"AEX","-0.037023445622182904"
"TRI","-0.03692318855482065"
"BRO","-0.03868259503571921"
"BUF","-0.0025177355841955297"
"BQK","-0.040226319227676735"
"BZN","-0.03336378738884572"
"BRD","-0.038052775353828935"
"BKG","-0.040810022342789354"
"BOS","0.1766299298533612"
"BIS","-0.03576730572720884"
"BOI","-0.012307826384139417"
"DFW","0.7247439802535041"
"TYS","-0.021847836677379856"
"EYW","-0.038570727549167017"
"ILE","-0.03979561106134887"
"MCI","0.06192518381399864"
"LMT","-0.04092045030563633"
"GRK","-0.03821468203716738"
"AKN","-0.034412532978492276"
"KTN","-0.015427646240898265"
"ADQ","-0.03582462572799462"
"LRD","-0.0383981135435222"
"LAN","-0.03538795000117782"
"LAR","-0.04129380984119243"
"LCH","-0.03972950254267162"
"LNY","-0.03817980630124731"
"LFT","-0.0339921323523076"
"LSE","-0.038251812596678876"
"KOA","-0.021141049498841567"
"OTZ","-0.028884463411332818"
"LAS","0.24313047372206092"
"LIH","-0.02128484224450533"
"LEX","-0.0288032080756331"
"LWS","-0.040709688126127234"
"LWB","-0.041378266900498485"
"LBE","-0.041278685236758386"
"LIT","-0.011897278324268203"
"LNK","-0.03610348094668422"
"GGG","-0.0404301730800826"
"LGB","-0.02466575819155001"
"LAX","0.459960309423439"
"FCA","-0.03534553781295842"
"IAH","0.3689431850487435"
"HOU","0.06984926144227063"
"OGG","0.00789044926104443"
"AZO","-0.03669516318489582"
"JNU","0.02073676785505467"
"JAX","0.006123038063071316"
"JMS","-0.026185425768065183"
"JLN","-0.04123693442226316"
"OAJ","-0.0400789505476956"
"HSV","-0.02604764891861159"
"ISP","-0.02935603509838338"
"JAN","-0.02255251790338205"
"JAC","-0.03525223819441123"
"IND","0.029950090602386386"
"ITH","-0.038519366038907384"
"IYK","-0.041031385758513034"
"IMT","-0.03665541411317993"
"INL","-0.0366149802338073"
"IDA","-0.03615816431833743"
"HYA","-0.04161236245703878"
"EFD","-0.04130679144752882"
"SDF","-0.0028073115723184403"
"MHT","-0.02132158783607715"
"MSN","-0.0248195421989752"
"MMH","-0.04147690036656283"
"LBB","-0.02762887061375507"
"LYH","-0.041119586270053"
"MCN","-0.041180955761513975"
"MFR","-0.03569748316357887"
"MQT","-0.040370410489902135"
"MVY","-0.04153910440823201"
"MAZ","-0.0416035058702199"
"RSW","0.001439648212531816"
"MLB","-0.037160707278764346"
"HNL","0.10398338577811252"
"MKK","-0.037257959173370776"
"BDL","0.011232006672661384"
"MEM","0.061760567384518295"
"HLN","-0.037037800936439116"
"HDN","-0.039484888249695115"
"GSP","-0.023983850220805195"
"GSO","-0.014323392636765365"
"MSP","0.40160513386101643"
"ITO","-0.028694633484557284"
"HOB","-0.04126322833119811"
"PIB","-0.03949149727697351"
"HIB","-0.03769952597553796"
"LGA","0.16480418469872765"
"JFK","0.1479916228749986"
"MSY","0.04917518402680556"
"EWR","0.20373630914584212"
"ORF","-0.009539867744168878"
"OME","-0.028473453699139964"
"PHF","-0.0372832133073158"
"IAG","-0.04152841001419104"
"SWF","-0.0372264174222329"
