"Airport","Page_Rank_Score"
"ABQ","0.06874722591527546"
"ABY","0.0014415973935852158"
"ALB","0.023143441552121644"
"ABI","0.003565898321654289"
"CAK","0.009603109848539484"
"ATL","1.0"
"BHM","0.03747909168747142"
"BIL","0.010324180542487817"
"BGM","0.0015494790874633763"
"RDM","0.0034721293159551228"
"BET","0.008919472999230106"
"BTR","0.01519093616453516"
"BPT","0.0012237397799991917"
"BLI","7.961529252356592E-4"
"BJI","4.6389699888496817E-4"
"BRW","0.01081430697631209"
"BGR","0.0030997736516325076"
"BWI","0.17976317787775106"
"AUS","0.08490495446226994"
"MDW","0.14402677433940103"
"ORD","0.8395474744039306"
"AMA","0.012009923671012028"
"ACV","0.007190427317835757"
"AGS","0.0056563907120951995"
"ACY","0.0012734507175137686"
"ANC","0.2072524049282818"
"ATW","0.003896034545396336"
"ANI","0.007399363161379039"
"AVL","0.006541026604111554"
"APN","8.600372547995767E-4"
"ABE","0.009941385534735631"
"BFL","0.0041477295370349375"
"ASE","0.003799143579709022"
"HTS","4.2764114709727943E-4"
"CLT","0.27935250475511164"
"CRW","0.005907345972879507"
"CPR","0.003194802854780567"
"CDC","0.0011493615423852027"
"CHS","0.021207862474788793"
"CID","0.012940920564059129"
"CMI","0.00300091663101354"
"CLD","0.0019212557809986039"
"BTM","0.0014505797592283078"
"BTV","0.008294964589755998"
"BUR","0.04945060466788018"
"BQN","0.0012882956583788448"
"ADK","5.139091501178741E-4"
"ABR","4.716791448392182E-4"
"AEX","0.004589920340002633"
"TRI","0.00469017740736489"
"BRO","0.0029307709264663273"
"BUF","0.039095630377990014"
"BQK","0.001387046734508807"
"BZN","0.008249578573339824"
"BRD","0.0035605906083566114"
"BKG","8.033436193961878E-4"
"BOS","0.21824329581554675"
"BIS","0.005846060234976699"
"BOI","0.029305539578046123"
"DFW","0.7663573462156896"
"TYS","0.019765529284805683"
"EYW","0.0030426384130185233"
"ILE","0.0018177549008366657"
"MCI","0.10353854977618418"
"LMT","6.929156565492099E-4"
