"Airport","Page_Rank_Score"
"ABQ","0.24567908292160245"
"ABY","-0.3637286872687898"
"ALB","-0.16723290009385786"
"ABI","-0.34449455306304855"
"CAK","-0.28983161185626394"
"ATL","8.677554529351758"
"BHM","-0.03743310808392645"
"BIL","-0.28330279556852833"
"BGM","-0.3627518901724004"
"RDM","-0.34534356913987907"
"BET","-0.2960214895397233"
"BTR","-0.23923755530801075"
"BPT","-0.36570124328573084"
"BLI","-0.3695727583053134"
"BJI","-0.3725811150751289"
"BRW","-0.2788650261916038"
"BGR","-0.34871500240774433"
"BWI","1.2508548048779533"
"AUS","0.3919765849498662"
"MDW","0.9272854025372319"
"ORD","7.224763462800672"
"AMA","-0.26803951100182005"
"ACV","-0.31167684996647105"
"AGS","-0.32556653271408137"
"ACY","-0.3652511437583924"
"ANC","1.4997515008760114"
"ATW","-0.34150538879271"
"ANI","-0.3097850746525309"
"AVL","-0.3175567421776132"
"APN","-0.368994328125182"
"ABE","-0.2867687501586277"
"BFL","-0.339226457788104"
"ASE","-0.3423826721440135"
"HTS","-0.3729093877364142"
"CLT","2.152570024839624"
"CRW","-0.32329429948112337"
"CPR","-0.34785457607988135"
"CDC","-0.36637468883449986"
"CHS","-0.1847582832668931"
"CID","-0.25960995238826107"
"CMI","-0.3496100870808435"
"CLD","-0.35938569910053414"
"BTM","-0.3636473579128678"
"BTV","-0.30167599846627047"
"BUR","0.07096099195549514"
"BQN","-0.36511673267703265"
"ADK","-0.3721282882575999"
"ABR","-0.37251065291145197"
"AEX","-0.33522271371566886"
"TRI","-0.3343149525490471"
"BRO","-0.3502452098534178"
"BUF","-0.022796423746331146"
"BQK","-0.3642226072609262"
"BZN","-0.30208693870514053"
"BRD","-0.3445426108822324"
"BKG","-0.36950765134485947"
"BOS","1.5992667190699181"
"BIS","-0.3238492011394265"
"BOI","-0.11143919457243813"
"DFW","6.562075455886495"
"TYS","-0.1978176524828858"
"EYW","-0.3492323240512355"
"ILE","-0.3603228308379178"
"MCI","0.560691416388119"
"LMT","-0.37050750321584464"
"GRK","-0.346008568381469"
"AKN","-0.31158263357228755"
"KTN","-0.13968709157692735"
"ADQ","-0.3243681956816871"
"LRD","-0.3476694188589938"
"LAN","-0.3204143869613668"
"LAR","-0.373888025871082"
"LCH","-0.3597242621023965"
"LNY","-0.3456927917528628"
"LFT","-0.30777618508028237"
"LSE","-0.34634476094032063"
"KOA","-0.1914181639418439"
"OTZ","-0.261529634701705"
"LAS","2.201384982365128"
"LIH","-0.19272011176447318"
"LEX","-0.26079392159668763"
"LWS","-0.36859919164256044"
"LWB","-0.37465272845716585"
"LBE","-0.3737510826218232"
"LIT","-0.10772195452554546"
"LNK","-0.3268930445057764"
"GGG","-0.36606836851994695"
"LGB","-0.2233320604787721"
"LAX","4.164635153083652"
"FCA","-0.3200303727619696"
"IAH","3.3405355341869964"
"HOU","0.6324386771198807"
"OGG","0.07144277819831818"
"AZO","-0.3322503342506243"
"JNU","0.18775766213121625"
"JAX","0.055440043496580396"
"JMS","-0.2370916412088785"
"JLN","-0.3733730567222958"
"OAJ","-0.36288828172774645"
"HSV","-0.23584416333141817"
"ISP","-0.26579940316836137"
"JAN","-0.2041980730222265"
"JAC","-0.31918560667409135"
"IND","0.27117818125892085"
"ITH","-0.3487672796837968"
"IYK","-0.3715119500720368"
"IMT","-0.3318904328026538"
"INL","-0.3315243308761161"
"IDA","-0.3273881661221645"
"HYA","-0.3767723082643246"
"EFD","-0.3740055656956808"
"SDF","-0.02541834201823009"
"MHT","-0.19305281869427912"
"MSN","-0.22472447254169084"
"MMH","-0.3755457889922303"
"LBB","-0.25016107572907187"
"LYH","-0.37231054713216083"
"MCN","-0.3728662071233145"
"MFR","-0.3232170041932676"
"MQT","-0.36552725795278335"
"MVY","-0.3761090052813141"
"MAZ","-0.3766921177521292"
"RSW","0.013035058528201164"
"MLB","-0.3364655268637992"
"HNL","0.9415005053175534"
"MKK","-0.337346078186781"
"BDL","0.10169836151139007"
"MEM","0.5592009239370457"
"HLN","-0.33535269155323466"
"HDN","-0.3575094421220515"
"GSP","-0.2171578366426076"
"GSO","-0.12968880850016404"
"MSP","3.636267790655643"
"ITO","-0.25981085077631"
"HOB","-0.3736111306065397"
"PIB","-0.35756928247515896"
"HIB","-0.3413441723463517"
"LGA","1.4921924498919308"
"JFK","1.3399658674021022"
"MSY","0.4452486352879123"
"EWR","1.8446969828589617"
"ORF","-0.08637716722326814"
"OME","-0.25780821469961224"
"PHF","-0.3375747375989811"
"IAG","-0.3760121746451669"
