"Airport1","Airport2","Jaccard","Overlap","Cosine"
"ABI","BPT","1.0","1.0","0.9999999999999998"
"BIL","MOT","0.3333333333333333","1.0","0.5773502691896257"
"BGM","ABE","0.4166666666666667","1.0","0.6454972243679028"
"BET","ADQ","1.0","1.0","1.0"
"BET","ADK","1.0","1.0","1.0"
"BET","OTZ","0.5","1.0","0.7071067811865475"
"BET","AKN","0.3333333333333333","1.0","0.5773502691896258"
"BET","BRW","0.3333333333333333","1.0","0.5773502691896258"
"BPT","ABI","1.0","1.0","0.9999999999999998"
"BLI","PPG","0.2","1.0","0.4472135954999579"
"BLI","MWH","0.2","1.0","0.4472135954999579"
"BLI","LAR","0.2","1.0","0.4472135954999579"
"BLI","MKK","0.2","1.0","0.4472135954999579"
"BRW","ADK","0.3333333333333333","1.0","0.5773502691896258"
"BRW","DUT","0.3333333333333333","1.0","0.5773502691896258"
"BRW","KSM","0.3333333333333333","1.0","0.5773502691896258"
"BRW","ADQ","0.3333333333333333","1.0","0.5773502691896258"
"BRW","BET","0.3333333333333333","1.0","0.5773502691896258"
"BRW","FAI","0.25","0.6666666666666666","0.4364357804719848"
"ACV","LWS","0.25","1.0","0.5"
"ACV","RDD","0.25","1.0","0.5"
"ACV","PIH","0.25","1.0","0.5"
"ACV","CNY","0.25","1.0","0.5"
"AGS","GRK","0.5","1.0","0.7071067811865476"
"AGS","BRO","0.3333333333333333","1.0","0.5773502691896258"
"APN","ESC","0.3333333333333333","1.0","0.5773502691896258"
"APN","MIB","0.3333333333333333","1.0","0.5773502691896258"
"APN","CIU","0.3333333333333333","1.0","0.5773502691896258"
"APN","ABR","0.3333333333333333","1.0","0.5773502691896258"
"APN","BJI","0.3333333333333333","1.0","0.5773502691896258"
"CDC","LWS","0.5","1.0","0.7071067811865475"
"CDC","VEL","0.5","1.0","0.7071067811865475"
"CDC","PIH","0.5","1.0","0.7071067811865475"
"CDC","CNY","0.5","1.0","0.7071067811865475"
"CDC","WYS","0.5","1.0","0.7071067811865475"
"CDC","TWF","0.5","1.0","0.7071067811865475"
"CDC","BTM","0.5","1.0","0.7071067811865475"
"CMI","CID","0.4444444444444444","1.0","0.6666666666666666"
"ADK","ADQ","1.0","1.0","1.0"
"ADK","BET","1.0","1.0","1.0"
"ADK","OTZ","0.5","1.0","0.7071067811865475"
"ADK","AKN","0.3333333333333333","1.0","0.5773502691896258"
"ADK","BRW","0.3333333333333333","1.0","0.5773502691896258"
"ABR","BJI","1.0","1.0","1.0"
"AEX","GRK","0.6","1.0","0.7745966692414834"
"BRO","BPT","1.0","1.0","0.9999999999999998"
"BRO","ABI","1.0","1.0","0.9999999999999998"
"BQK","ABY","1.0","1.0","1.0"
"BZN","RDM","0.45454545454545453","1.0","0.674199862463242"
"BRD","HIB","1.0","1.0","0.9999999999999998"
"BRD","MIB","0.5","1.0","0.7071067811865475"
"BRD","ABR","0.5","1.0","0.7071067811865475"
"BRD","BJI","0.5","1.0","0.7071067811865475"
"ILE","BPT","1.0","1.0","0.9999999999999998"
"ILE","ABI","1.0","1.0","0.9999999999999998"
"LMT","RDM","0.4","1.0","0.6324555320336759"
"GRK","BPT","0.6666666666666666","1.0","0.8164965809277259"
"AKN","ADK","0.3333333333333333","1.0","0.5773502691896258"
"AKN","DUT","0.3333333333333333","1.0","0.5773502691896258"
"AKN","KSM","0.3333333333333333","1.0","0.5773502691896258"
"AKN","ADQ","0.3333333333333333","1.0","0.5773502691896258"
"AKN","BET","0.3333333333333333","1.0","0.5773502691896258"
"AKN","DLG","0.25","0.5","0.40824829046386296"
"AKN","OME","0.25","0.5","0.40824829046386296"
"AKN","CDV","0.25","0.5","0.40824829046386296"
"AKN","OTZ","0.25","0.5","0.40824829046386296"
"KTN","PSG","0.75","1.0","0.8660254037844387"
"KTN","SIT","0.4","0.6666666666666666","0.5773502691896258"
"KTN","GST","0.25","1.0","0.5"
"KTN","MWH","0.25","1.0","0.5"
"KTN","FAI","0.2222222222222222","0.5","0.3779644730092272"
"KTN","YAK","0.2","0.5","0.35355339059327373"
"KTN","JNU","0.2","0.5","0.35355339059327373"
"ADQ","ADK","1.0","1.0","1.0"
"ADQ","BET","1.0","1.0","1.0"
"ADQ","OTZ","0.5","1.0","0.7071067811865475"
"ADQ","AKN","0.3333333333333333","1.0","0.5773502691896258"
"ADQ","BRW","0.3333333333333333","1.0","0.5773502691896258"
"LRD","BPT","1.0","1.0","0.9999999999999998"
"LRD","ABI","1.0","1.0","0.9999999999999998"
"LCH","BPT","1.0","1.0","0.9999999999999998"
"LCH","ABI","1.0","1.0","0.9999999999999998"
"LFT","GRK","0.5","1.0","0.7071067811865476"
"KOA","LIH","0.7857142857142857","1.0","0.8864052604279183"
"OTZ","ADK","0.5","1.0","0.7071067811865475"
"OTZ","DUT","0.5","1.0","0.7071067811865475"
"OTZ","KSM","0.5","1.0","0.7071067811865475"
"OTZ","ADQ","0.5","1.0","0.7071067811865475"
"OTZ","BET","0.5","1.0","0.7071067811865475"
"OTZ","AKN","0.25","0.5","0.40824829046386296"
"LIH","KOA","0.7857142857142857","1.0","0.8864052604279183"
"LWB","OAJ","0.5","1.0","0.7071067811865475"
"LWB","BQK","0.25","1.0","0.5"
"LWB","EWN","0.25","1.0","0.5"
"LBE","IAG","0.3333333333333333","1.0","0.5773502691896258"
"LIT","BHM","0.5555555555555556","1.0","0.7453559924999299"
"LNK","CID","0.5555555555555556","1.0","0.7453559924999299"
"GGG","BPT","0.5","1.0","0.7071067811865475"
"FCA","MOT","0.375","1.0","0.6123724356957945"
"AZO","LSE","0.5","1.0","0.7071067811865476"
"JNU","CDV","0.25","1.0","0.4999999999999999"
"JNU","WRG","0.25","1.0","0.4999999999999999"
"JNU","SIT","0.2222222222222222","0.6666666666666666","0.40824829046386296"
"JNU","BRW","0.2222222222222222","0.6666666666666666","0.40824829046386296"
"JNU","ADQ","0.125","1.0","0.35355339059327373"
"JNU","DUT","0.125","1.0","0.35355339059327373"
"JNU","KSM","0.125","1.0","0.35355339059327373"
"JMS","AZA","0.5","1.0","0.7071067811865475"
"JMS","PUB","0.5","1.0","0.7071067811865475"
"JMS","LAR","0.5","1.0","0.7071067811865475"
"JLN","BPT","0.5","1.0","0.7071067811865475"
