"Airport1","Airport2","Jaccard","Overlap","Cosine"
"BET","ADQ","0.6340852130325815","1.0","1.0"
"BET","OTZ","0.5450819672131147","1.0","0.9486832980505139"
"BET","ADK","0.3347315436241611","1.0","1.0"
"BET","BRW","0.2786312849162011","1.0","0.8005065449054445"
"BLI","PPG","0.3456576672429844","1.0","0.6658381477589296"
"BLI","ANC","0.1341050153385175","1.0","0.4184120647901916"
"BRW","SCC","0.6112469437652812","0.8305647840531561","0.9360193990797783"
"BRW","DUT","0.4836557705136758","0.9154040404040404","0.8005065449054444"
"BRW","JNU","0.34051997463538364","0.75","0.6233986241882737"
"BRW","KSM","0.308659217877095","1.0","0.8005065449054445"
"BRW","BET","0.2786312849162011","1.0","0.8005065449054445"
"BRW","DLG","0.21889554224883567","0.8225","0.7824927655914657"
"BRW","ADQ","0.17667597765363127","1.0","0.8005065449054445"
"ACV","LWS","0.40156794425087106","1.0","0.887690911018534"
"ACV","BTM","0.31097560975609756","1.0","0.8876909110185341"
"ACV","WYS","0.23780487804878048","1.0","0.887690911018534"
"APN","MIB","0.6175675675675676","1.0","0.9142012739589898"
"APN","ABR","0.3472972972972973","1.0","0.9142012739589898"
"APN","BJI","0.2689189189189189","1.0","0.9142012739589898"
"HTS","BQK","0.3622526636225266","1.0","0.8320281332188153"
"CDC","CNY","0.6789667896678967","1.0","0.9753491548072087"
"CDC","TWF","0.6457564575645757","1.0","0.9753491548072086"
"CDC","PIH","0.5535055350553506","1.0","0.9753491548072086"
"CDC","VEL","0.4870848708487085","1.0","0.9753491548072086"
"ADK","BET","0.3347315436241611","1.0","1.0"
"ADK","ADQ","0.21224832214765102","1.0","1.0"
"ABR","BJI","0.77431906614786","1.0","1.0"
"BRO","BPT","0.4417721518987342","1.0","0.9599537715301568"
"BQK","ABY","0.6134453781512605","1.0","1.0"
"BRD","HIB","0.6116207951070336","0.7692307692307693","0.8909331399718377"
"BRD","BJI","0.32386363636363635","0.5728643216080402","0.597481322535474"
"BRD","RHI","0.2780487804878049","0.44357976653696496","0.5634738407864176"
"BRD","ABR","0.2780487804878049","0.44357976653696496","0.597481322535474"
"EYW","LYH","0.2023933402705515","1.0","0.6539567030859099"
"ILE","ABI","0.621505376344086","1.0","0.9780138561252559"
"AKN","BET","0.20881502890173412","0.7243107769423559","0.3006572824584598"
"AKN","DLG","0.20866425992779783","0.7225","0.29389159894242184"
"AKN","KSM","0.2025227750525578","0.6538461538461539","0.3006572824584598"
"AKN","ADQ","0.19858712715855573","1.0","0.3006572824584598"
"AKN","OME","0.169302870533099","0.4002770083102493","0.2846959478792407"
"AKN","OTZ","0.16831683168316833","0.3948087431693989","0.2852285423055965"
"AKN","DUT","0.1626336522228475","0.3648989898989899","0.3006572824584598"
"AKN","ADK","0.13275149288011023","0.2424496644295302","0.3006572824584598"
"KTN","SIT","0.5019430051813472","0.6798245614035088","0.9194360628744236"
"KTN","JNU","0.2421875","0.6573367260390162","0.6603078029271422"
"KTN","PSG","0.20949957591178966","1.0","0.41169076237966035"
"KTN","MWH","0.11959287531806616","1.0","0.9108303796937242"
"KTN","FAI","0.10810171496156121","0.7752332485156913","0.4085010249069204"
"ADQ","BET","0.6340852130325815","1.0","1.0"
"ADQ","OTZ","0.34562841530054644","1.0","0.9486832980505139"
"ADQ","ADK","0.21224832214765102","1.0","1.0"
"LRD","BPT","0.5007173601147776","1.0","0.934021191087882"
"LAN","MIB","0.2580828133862734","0.9956236323851203","0.5872366032603288"
"LCH","BPT","0.8270142180094787","1.0","0.9925818374025633"
"OTZ","KSM","0.6038251366120219","1.0","0.9486832980505139"
"OTZ","BET","0.5450819672131147","1.0","0.9486832980505139"
"OTZ","DLG","0.40971357409713577","0.8225","0.9273351008637463"
"OTZ","ADK","0.3992727272727273","0.75","0.9486832980505138"
"OTZ","ADQ","0.34562841530054644","1.0","0.9486832980505139"
"LWS","ACV","0.40156794425087106","1.0","0.887690911018534"
"LWB","UTM","0.347","1.0","0.6378739181932195"
"LWB","FLO","0.273","1.0","0.6378739181932195"
"LWB","BQK","0.238","1.0","0.6378739181932195"
"GGG","BPT","0.40114613180515757","1.0","0.9597607768554276"
"JNU","SIT","0.3614666205465237","0.9166666666666666","0.7232518158555374"
"JNU","SCC","0.3089005235602094","0.7840531561461794","0.6049344064548081"
"JNU","KSM","0.15808297567954221","1.0","0.44292987207224"
"JNU","BET","0.1427038626609442","1.0","0.44292987207224"
"JMS","AZA","0.8451327433628318","0.9630252100840336","0.9896712556478936"
"OAJ","BQK","0.4033898305084746","1.0","0.901981139368793"
"ITH","ESC","0.49038461538461536","1.0","0.8257360771844796"
"ITH","CIU","0.4551282051282051","1.0","0.8257360771844795"
"ITH","BGM","0.37707006369426754","0.9487179487179487","0.6124376511171888"
"IMT","ABR","0.7932098765432098","1.0","0.9676572447169927"
"IMT","BJI","0.6141975308641975","1.0","0.9676572447169927"
"INL","ABR","0.5141129032258065","0.9922178988326849","0.823738636162893"
"INL","IMT","0.45293072824156305","0.7870370370370371","0.7970966590363183"
"INL","BJI","0.402834008097166","1.0","0.823738636162893"
"INL","MIB","0.36637931034482757","0.5579868708971554","0.823738636162893"
"INL","RHI","0.33868092691622104","0.7392996108949417","0.7768530255526316"
"INL","HIB","0.3","0.6692307692307692","0.7384640298356626"
"HYA","BQN","0.0313449544218775","1.0","0.5504527974721646"
"EFD","ABI","0.060215053763440864","1.0","0.8891531407900645"
"LYH","ABY","0.37532133676092544","1.0","1.0"
"MCN","ABY","0.541095890410959","1.0","1.0"
"MQT","ESC","0.21779359430604983","1.0","0.5772681247986731"
"MAZ","HOU","0.0015628855803240932","1.0","0.2715113053297942"
"MKK","BLI","0.006117834818459901","1.0","0.6572577592568816"
"MKK","ANC","8.204323321680816E-4","1.0","0.23917392033948032"
"PIB","JLN","0.615819209039548","1.0","0.989030367714509"
"HIB","BRD","0.6116207951070336","0.7692307692307693","0.8909331399718377"
"HIB","BJI","0.6105263157894737","0.8743718592964824","0.8964785642149151"
"HIB","RHI","0.5072886297376094","0.6770428015564203","0.8454527375303513"
"HIB","ABR","0.5072886297376094","0.6770428015564203","0.8964785642149152"
"OME","KSM","0.6121883656509696","1.0","0.946911864403536"
"OME","OTZ","0.5890710382513661","0.7465373961218836","0.8983194704855074"
"OME","BET","0.5526315789473685","1.0","0.946911864403536"
"OME","DLG","0.41488020176544765","0.8225","0.9256035297450501"
"OME","ADK","0.392","0.7465373961218836","0.946911864403536"
"OME","ADQ","0.35041551246537395","1.0","0.946911864403536"
"IAG","PBG","0.8512820512820513","1.0","0.9991467908757266"
"CWA","LSE","0.7745535714285714","0.9253333333333333","0.969471076480324"
"CWA","ESC","0.36428571428571427","1.0","0.7820697189113469"
"CWA","CIU","0.3380952380952381","1.0","0.7820697189113469"
"APF","BQN","0.015352630737246123","1.0","0.34263591010164557"
"MGM","CSG","0.3987556561085973","0.8946700507614214","0.7646719713015283"
"MGM","CYS","0.3502252252252252","0.8723702664796634","0.7491100281903655"
"MGM","GRI","0.3329376854599407","1.0","0.7491100281903654"
"MWH","BIL","0.03239889705882353","1.0","0.3694780145857758"
"MFE","GRK","0.39099610067352003","1.0","0.7713888866485029"
"PSG","YAK","0.2294776119402985","0.4979757085020243","0.5338685142801958"
"PSG","KTN","0.20949957591178966","1.0","0.41169076237966035"
"PSG","GST","0.1659919028340081","1.0","0.7820131231886857"
"PSG","SIT","0.07352941176470588","0.38461538461538464","0.08382016637813824"
"PSG","JNU","0.03152542372881356","0.3765182186234818","0.04357268738390626"
"PSG","FAI","0.014794322828963195","0.4979757085020243","0.1252218393972058"
"PSG","ANC","0.0021889236902050114","0.4979757085020243","0.03818312816214034"
"PSG","SEA","0.001983252534156016","0.8744939271255061","0.08534174514141882"
"PLN","CIU","0.6883852691218131","0.8556338028169014","0.9619708260855805"
"PLN","ESC","0.648","0.7941176470588235","0.9619708260855806"
"PPG","BLI","0.3456576672429844","1.0","0.6658381477589296"
"PPG","CLT","0.03626849009210159","1.0","0.47985208644631205"
"MIB","BJI","0.43544857768052514","1.0","1.0"
"PBG","IAG","0.8512820512820513","1.0","0.9991467908757266"
"RHI","BJI","0.7142857142857143","0.9547738693467337","0.9430819333318367"
"SJT","ABI","0.8469945355191257","1.0","0.9898942488930801"
"RKS","CPR","0.464922711058264","0.7109090909090909","0.7026035861332577"
"SIT","JNU","0.3614666205465237","0.9166666666666666","0.7232518158555374"
"SIT","MWH","0.12368421052631579","1.0","0.972563883695201"
"SIT","FAI","0.11429595127194554","0.8394736842105263","0.3997604480327593"
"SGU","RDM","0.41678885630498536","1.0","0.933108342278896"
"UST","RSW","0.01964728102234541","1.0","0.15779252282004153"
"UST","IND","0.018744430445871617","0.7615480649188514","0.11001051808190097"
"UST","BNA","0.0157557633511125","0.8813982521847691","0.10371640737222645"
"UST","TPA","0.012647235292260082","1.0","0.11269232152991138"
"UST","FLL","0.010610536355327126","1.0","0.10236634879897219"
"UST","MDW","0.00997662868828513","0.8526841448189763","0.07686001376996508"
"UST","MCO","0.009252734812692766","1.0","0.08978508564632538"
"UST","MSP","0.007184307535002197","1.0","0.0857781435653097"
"SCE","ABE","0.4172523961661342","1.0","0.718557515455323"
"KSM","BET","0.9027149321266968","1.0","1.0"
"KSM","OTZ","0.6038251366120219","1.0","0.9486832980505139"
"KSM","ADQ","0.5723981900452488","1.0","1.0"
"KSM","ADK","0.37080536912751677","1.0","1.0"
"KSM","BRW","0.308659217877095","1.0","0.8005065449054445"
